sample,condition
Atha_Col-0_sl-pool_FLT_Rep1_R1-FL-A1,Col-0_FLT
Atha_Col-0_sl-pool_FLT_Rep2_R1-FL-A4,Col-0_FLT
Atha_Col-0_sl-pool_FLT_Rep3_R1-FL-B1,Col-0_FLT
Atha_Col-0_sl-pool_FLT_Rep4_R1-FL-B4,Col-0_FLT
Atha_Col-0_sl-pool_FLT_Rep5_R2-FL-A1,Col-0_FLT
Atha_Col-0_sl-pool_FLT_Rep6_R2-FL-A4,Col-0_FLT
Atha_Col-0_sl-pool_FLT_Rep7_R2-FL-B1,Col-0_FLT
Atha_Col-0_sl-pool_FLT_Rep8_R2-FL-B4,Col-0_FLT
Atha_Col-0_sl-pool_GC_Rep1_R1-GC-A1,Col-0_GC
Atha_Col-0_sl-pool_GC_Rep2_R1-GC-A4,Col-0_GC
Atha_Col-0_sl-pool_GC_Rep3_R1-GC-B1,Col-0_GC
Atha_Col-0_sl-pool_GC_Rep4_R1-GC-B4,Col-0_GC
Atha_Col-0_sl-pool_GC_Rep5_R2-GC-A1,Col-0_GC
Atha_Col-0_sl-pool_GC_Rep6_R2-GC-A4,Col-0_GC
Atha_Col-0_sl-pool_GC_Rep7_R2-GC-B1,Col-0_GC
Atha_Col-0_sl-pool_GC_Rep8_R2-GC-B4,Col-0_GC
Atha_Cvi-0_sl-pool_FLT_Rep1_R1-FL-C3,Cvi-0_FLT
Atha_Cvi-0_sl-pool_FLT_Rep2_R1-FL-D2,Cvi-0_FLT
Atha_Cvi-0_sl-pool_FLT_Rep3_R1-FL-D5,Cvi-0_FLT
Atha_Cvi-0_sl-pool_FLT_Rep4_R2-FL-C3,Cvi-0_FLT
Atha_Cvi-0_sl-pool_FLT_Rep5_R2-FL-D2,Cvi-0_FLT
Atha_Cvi-0_sl-pool_FLT_Rep6_R2-FL-D5,Cvi-0_FLT
Atha_Cvi-0_sl-pool_GC_Rep1_R1-GC-C3,Cvi-0_GC
Atha_Cvi-0_sl-pool_GC_Rep2_R1-GC-D2,Cvi-0_GC
Atha_Cvi-0_sl-pool_GC_Rep3_R1-GC-D5,Cvi-0_GC
Atha_Cvi-0_sl-pool_GC_Rep4_R2-GC-C3,Cvi-0_GC
Atha_Cvi-0_sl-pool_GC_Rep5_R2-GC-D2,Cvi-0_GC
Atha_Cvi-0_sl-pool_GC_Rep6_R2-GC-D5,Cvi-0_GC
Atha_Ler-0_sl-pool_FLT_Rep1_R1-FL-C2,Ler-0_FLT
Atha_Ler-0_sl-pool_FLT_Rep2_R1-FL-C5,Ler-0_FLT
Atha_Ler-0_sl-pool_FLT_Rep3_R1-FL-D3,Ler-0_FLT
Atha_Ler-0_sl-pool_FLT_Rep4_R2-FL-C2,Ler-0_FLT
Atha_Ler-0_sl-pool_FLT_Rep5_R2-FL-C5,Ler-0_FLT
Atha_Ler-0_sl-pool_FLT_Rep6_R2-FL-D3,Ler-0_FLT
Atha_Ler-0_sl-pool_GC_Rep1_R1-GC-C2,Ler-0_GC
Atha_Ler-0_sl-pool_GC_Rep2_R1-GC-C5,Ler-0_GC
Atha_Ler-0_sl-pool_GC_Rep3_R1-GC-D3,Ler-0_GC
Atha_Ler-0_sl-pool_GC_Rep4_R2-GC-C2,Ler-0_GC
Atha_Ler-0_sl-pool_GC_Rep5_R2-GC-C5,Ler-0_GC
Atha_Ler-0_sl-pool_GC_Rep6_R2-GC-D3,Ler-0_GC
Atha_Ws-2_sl-pool_FLT_Rep1_R1-FL-C1,Ws-2_FLT
Atha_Ws-2_sl-pool_FLT_Rep2_R1-FL-C4,Ws-2_FLT
Atha_Ws-2_sl-pool_FLT_Rep3_R1-FL-D1,Ws-2_FLT
Atha_Ws-2_sl-pool_FLT_Rep4_R1-FL-D4,Ws-2_FLT
Atha_Ws-2_sl-pool_FLT_Rep5_R2-FL-C1,Ws-2_FLT
Atha_Ws-2_sl-pool_FLT_Rep6_R2-FL-C4,Ws-2_FLT
Atha_Ws-2_sl-pool_FLT_Rep7_R2-FL-D1,Ws-2_FLT
Atha_Ws-2_sl-pool_FLT_Rep8_R2-FL-D4,Ws-2_FLT
Atha_Ws-2_sl-pool_GC_Rep1_R1-GC-C1,Ws-2_GC
Atha_Ws-2_sl-pool_GC_Rep2_R1-GC-C4,Ws-2_GC
Atha_Ws-2_sl-pool_GC_Rep3_R1-GC-D1,Ws-2_GC
Atha_Ws-2_sl-pool_GC_Rep4_R1-GC-D4,Ws-2_GC
Atha_Ws-2_sl-pool_GC_Rep5_R2-GC-C1,Ws-2_GC
Atha_Ws-2_sl-pool_GC_Rep6_R2-GC-C4,Ws-2_GC
Atha_Ws-2_sl-pool_GC_Rep7_R2-GC-D1,Ws-2_GC
Atha_Ws-2_sl-pool_GC_Rep8_R2-GC-D4,Ws-2_GC
