sample,condition
Atha_Ler-0_sl_FLT_0.09G_Rep1_Sample-131,FLT_0.09G
Atha_Ler-0_sl_FLT_0.09G_Rep2_Sample-136,FLT_0.09G
Atha_Ler-0_sl_FLT_0.09G_Rep3_Sample-139,FLT_0.09G
Atha_Ler-0_sl_FLT_0.18G_Rep1_Sample-135,FLT_0.18G
Atha_Ler-0_sl_FLT_0.18G_Rep2_Sample-151,FLT_0.18G
Atha_Ler-0_sl_FLT_0.18G_Rep3_Sample-156,FLT_0.18G
Atha_Ler-0_sl_FLT_0.36G_Rep1_Sample-154,FLT_0.36G
Atha_Ler-0_sl_FLT_0.36G_Rep2_Sample-160,FLT_0.36G
Atha_Ler-0_sl_FLT_0.36G_Rep3_Sample-211,FLT_0.36G
Atha_Ler-0_sl_FLT_0.57G_Rep1_Sample-171,FLT_0.57G
Atha_Ler-0_sl_FLT_0.57G_Rep2_Sample-176,FLT_0.57G
Atha_Ler-0_sl_FLT_0.57G_Rep3_Sample-214,FLT_0.57G
Atha_Ler-0_sl_FLT_0.57G_Rep4_Sample-231,FLT_0.57G
Atha_Ler-0_sl_FLT_1G_Rep1_Sample-175,FLT_1G
Atha_Ler-0_sl_FLT_1G_Rep2_Sample-179,FLT_1G
Atha_Ler-0_sl_FLT_1G_Rep3_Sample-235,FLT_1G
Atha_Ler-0_sl_FLT_uG_Rep1_Sample-111,FLT_uG
Atha_Ler-0_sl_FLT_uG_Rep2_Sample-114,FLT_uG
Atha_Ler-0_sl_FLT_uG_Rep3_Sample-116,FLT_uG
Atha_Ler-0_sl_FLT_uG_Rep4_Sample-120,FLT_uG
