sample,condition
Mmus_BAL-TAL_LVR_BSL_Rep1_B1,BSL
Mmus_BAL-TAL_LVR_BSL_Rep2_B2,BSL
Mmus_BAL-TAL_LVR_BSL_Rep3_B3,BSL
Mmus_BAL-TAL_LVR_BSL_Rep4_B4,BSL
Mmus_BAL-TAL_LVR_BSL_Rep5_B6,BSL
Mmus_BAL-TAL_LVR_BSL_Rep6_B7,BSL
Mmus_BAL-TAL_LVR_FLT_Rep1_F1,FLT
Mmus_BAL-TAL_LVR_FLT_Rep2_F2,FLT
Mmus_BAL-TAL_LVR_FLT_Rep3_F3,FLT
Mmus_BAL-TAL_LVR_FLT_Rep4_F4,FLT
Mmus_BAL-TAL_LVR_FLT_Rep5_F5,FLT
Mmus_BAL-TAL_LVR_FLT_Rep6_F6,FLT
Mmus_BAL-TAL_LVR_GC_Rep1_G1,GC
Mmus_BAL-TAL_LVR_GC_Rep2_G2,GC
Mmus_BAL-TAL_LVR_GC_Rep3_G3,GC
Mmus_BAL-TAL_LVR_GC_Rep4_G5,GC
Mmus_BAL-TAL_LVR_GC_Rep5_G6,GC
Mmus_BAL-TAL_LVR_GC_Rep6_G7,GC
