sample,condition
Mmus_C57-6J_LVR_FLT_C_Rep1_M25,FLT_C
Mmus_C57-6J_LVR_FLT_C_Rep2_M26,FLT_C
Mmus_C57-6J_LVR_FLT_C_Rep3_M27,FLT_C
Mmus_C57-6J_LVR_FLT_C_Rep4_M28,FLT_C
Mmus_C57-6J_LVR_FLT_C_Rep5_M30,FLT_C
Mmus_C57-6J_LVR_FLT_I_Rep1_M21,FLT_I
Mmus_C57-6J_LVR_FLT_I_Rep2_M22,FLT_I
Mmus_C57-6J_LVR_GC_C_Rep1_M36,GC_C
Mmus_C57-6J_LVR_GC_C_Rep2_M37,GC_C
Mmus_C57-6J_LVR_GC_C_Rep3_M38,GC_C
Mmus_C57-6J_LVR_GC_C_Rep4_M39,GC_C
Mmus_C57-6J_LVR_GC_C_Rep5_M40,GC_C
Mmus_C57-6J_LVR_GC_I_Rep1_M31,GC_I
Mmus_C57-6J_LVR_GC_I_Rep2_M32,GC_I
