speciesType,tissueType,cellName,geneSymbol
Mouse,Brain,Astrocyte,"Gfap,Pdpn,Aldh1l1,Atp1b2,S100b,Htra1,Acsl6,Agt,Aqp4,Atp13a4,Atp1b2,Bcan,Cldn10,Dclk1,Ednrb,Entpd2,Fgfr3,Fjx1,Fzd2,Gja1,Gjb6,Gpr37l1,Id4,Nkain4,Ntsr2,Pla2g7,Plcd4,Sdc4,Slc39a12,Slc4a4,Slc6a11,Slc7a10,Slc7a11,Sox9,Tlcd1,Vegfa"
Mouse,Brain,Oligodendrocyte,"Mbp,Olig2,Apod,Aspa,Cldn11,Cntn2,Efnb3,Enpp2,Ermn,Evi2a,Fa2h,Galnt6,Gjb1,Gjc2,Gjc3,Gpr37,Hapln2,Josd2,Lgi3,Lpar1,Mag,Mog,Opalin,Pdlim2,Pex5l,Plekhh1,Pls1,Ppp1r14a,Ptgds,S1pr5,Slc12a2,Stmn4,Tmeff2,Tmem125,Tmem151a,Tmem88b,Tnfaip6,Trf,Trim59,Tspan2,Tubb4a,Ugt8a"
Mouse,Brain,Microglial cell,"Itgam,Aif1,Stab1,Dock2,Cd68,Cx3cr1,Itgam,C1qa,C1qb,C1qc,Ctss,0610040J01Rik,Apbb1ip,Ccr5,Csf1r,Cyth4,Dock2,Dock8,Fcrls,Fyb,Hexb,Hpgds,Ikzf1,Inpp5d,Lcp2,Lgmn,Lpcat2,Ly86,Myo1f,Nckap1l,P2ry12,Pik3ap1,Ptprc,Runx1,Siglech,Sirpa,Skap2,Tbxas1,Tgfbr1,Vav1"
Mouse,Brain,Pericyte,"Anpep,Pdgfrb,Mcam,Cspg4,Pdgfrb,Rgs5,Dlk1,Kcnj8,Arhgef6,Cox4i2,Ebf1,F2r,Frmd6,Gucy1a3,Gucy1b3,Itga7,Mcam,Mfge8,Nab1,Notch3,Nr2f2,Pcdh18,Rasl12,Rgs5"
Mouse,Brain,Neuron,"Tubb3,Gnpnat1,Bcl11b,Slc17a7,Rbfox3,Eno2,Nfasc,Alcam,L1cam,Thy1,6330403K07Rik,Agap2,Ahi1,Arf3,Atp1a3,Atp1b1,Bex2,Camk2a,Camk2b,Camk2n1,Celf4,Cnih2,Cplx2,Ctxn1,Fbxl16,Gap43,Hap1,Hpcal4,Kif5a,Kif5c,Ly6h,Myt1l,Ncdn,Nefl,Nrgn,Nrsn1,Pcp4,Rab3c,Rasgef1a,Rph3a,Rtn1,Scg2,Sez6,Snap25,Stmn2,Stmn3,Syt1"
Mouse,Brain,Oligodendrocyte precursor cell,"Pdgfra,3110035E14Rik,3632451O06Rik,A930009A15Rik,C1ql1,Cacng4,Cdo1,Emid1,G0s2,Gpr17,Gria3,Gria4,Matn4,Megf11,Myt1,Neu4,Nxph1,Pcdh15,Phlda1,Ptpre,Qpct,Sema3d,Slc35f1,Snx22,Susd5,Tnr,Traf4,Tspan6,Vcan,Abtb2,Adam12,Chst11,Dscam,Fchsd2,Itpr2,Kank1,Kcnip3,Mmp16,Nova1,Pid1,Sema5b,Sox6,Spon1,Tox,Xylt1"
Mouse,Brain,M1 macrophage,"Cd40,Il1b,Nos2,Itgax,Ccl2,Ccl5,Il18,Il6,Cd274,Tnf,Ccr7,Il6,Fcgr3,Cdh1,Cd40,Il12a,Il12b,Irf5,Cd14,Fcgr3,Msr1,Clec7a,Fcgr1,Cd68,Cd80,Cd86,Ly6c1,Mertk,MHCclassII,Stat1"
Mouse,Brain,Endothelial cell,"Eng,Pecam1,Flt1,Kdr,Pecam1,Egfl7,Emcn,Tie1,Egfl7,Cd34,Eng,Tek,Cdh5,Nos3,Cdh5,Kdr,Icam2,Icam1,Cd93,Ly6c1,Flt4,2810025M15Rik,Ablim1,Acvrl1,Arap3,Arhgef15,BC028528,Cldn5,Clec14a,Ctla2a,Ecscr,Elk3,Ets1,F11r,Fgd5,Fli1,Fxyd5,Gata2,Gimap1,Gimap5,Gimap6,Grap,Icam2,Il2rg,Itga6,Lmo2,Ly6e,Mfng,Mmrn2,Nos3,Nostrin,Ppm1f,Prkch,Ptprb,Ramp2,Rasip1,Scarb1,Srgn,Tmem88,Sox17,Fn1,Sox18,Abcb1a,Apcdd1,Ccdc141,Cgnl1,Hmcn1,Slc22a8,Slc40a1,Slc7a1,Slc7a5,Slco1a4,Wwtr1,Ushbp1"
