speciesType,tissueType,cellName,geneSymbol
Mouse,Blood,Hematopoietic stem cell,"Itgal,  Procr, Slamf1,  Cd48, Pecam1,  Kit,  Ly6a, Cd38, Abcg2, Cd34,  Thy1, Emcn,  Cd34, Kit,  Slamf1, Ptprc,  NA,  Itgam,  Cd19,  Cd3d,  Cd3e,  Cd3g,  Cd4,  Cd8a,  Ly6g,  Ly76,  Cd47,  Flt3, Cyld,  Cyp26b1,  Gprc5c, Btg2,  Ctla2a,  Egr1,  Fosb,  Gata2,  Gm17757,  Hlf,  Ikzf2,  Mecom,  Meis1,  Mpl,  Pbx1,  Pigr,  Cavin1,  Satb1,  Sox4,  Tsc22d1, Maged2,  Plcb4,  Rbp1,  1110008F13Rik,  1700094D03Rik,  1810062G17Rik,  2010111I01Rik,  2210017G18Rik,  2510009E07Rik,  2700081O15Rik,  2900006B11Rik,  2900018N21Rik,  2900072G11Rik,  2900084O13Rik,  2900092N22Rik,  5230400M06Rik,  5730409L17Rik,  5830408B19Rik,  6030498E09Rik,  6330403K07Rik,  6720407P12Rik,  6720422M22Rik,  6720454L07Rik,  8430408G22Rik,  9030425L15Rik,  9130008F23Rik,  9330156P08Rik,  9530010C24Rik,  A130009I22Rik,  A3galt2,  A730056I06Rik,  A730059M13Rik,  Abca5,  Abcg3,  Actn3,  Acvr2a,  Adam22,  Adarb1,  Adcy7,  Adcy9,  Adipor1,  Adrb2,  Agpat4,  AI661453,  AI956758,  Ak3,  Ak7,  Aldh1a1,  Aldoc,  Amigo2,  Anxa4,  Apoe,  App,  Aqp1,  Arhgap29,  Arhgap31,  Arl10,  Asb4,  Asph,  Atg4c,  Atp10d,  Atp9a,  Bgn,  Birc3,  Bmp2,  Bmper,  Btbd3,  C030034E14Rik,  C1rl,  C230037E05Rik,  C77080,  Cables1,  Cacnb2,  Cadps2,  Calml4,  Car3,  Car9,  Card10,  Casp12,  Cav2,  Cbr3,  Ccdc136,  Ccdc152,  Ccdc157,  Ccr5,  Cd151,  Cd28,  Cd74,  Cdcp1,  Cdkn1c,  Cds1,  Chad,  Chst15,  Chst2,  Chst7,  Cldn12,  Cldn4,  Clec1a,  Clu,  Col1a2,  Col4a1,  Col4a2,  Coro2b,  Cpa3,  Cpn1,  Cpne8,  Crebl2,  Crebrf,  Crispld1,  Cry2,  Csdc2,  Csf2rb2,  Cstf2t,  Ctf1,  Ctsf,  Cttn,  Cttnbp2,  Cttnbp2nl,  Cul7,  Cx3cl1,  Cyp2j9,  Cyp7b1,  Cystm1,  D630039A03Rik,  D630045J12Rik,  Ddx39,  Dennd4a,  Dhx57,  Disc1,  Dkkl1,  Dlc1,  Dmd,  Dnajb5,  Dnhd1,  Dnmt3b,  Dock1,  Dock6,  Dock7,  Dpys,  Dsel,  Dsg2,  Dusp26,  Dusp3,  E130308A19Rik,  Efna1,  Egln3,  Ehd3,  Elmo3,  Emp1,  Enah,  Eng,  Eno2,  Erp27,  Esr1,  Exoc6b,  Exph5,  Eya1,  F11r,  F830016B08Rik,  Fads2,  Fam131a,  Fam213a,  Fam222b,  Fam83h,  Fam84b,  Fbxl17,  Fcgrt,  Fgd5,  Fgf11,  Fgfr3,  Fhl1,  Fkbp1b,  Fkbp9,  Flywch2,  Foxa3,  Fstl1,  Fut4,  Fzd3,  Fzd4,  Fzd6,  Galnt3,  Gas6,  Gata1,  Gata3,  Gbp10,  Gbp6,  Gbp8,  Gbp9,  Gcnt2,  Gda,  Gdf3,  Gfi1,  Ghr,  Gimap3,  Gimap5,  Gimap8,  Gja1,  Gjb5,  Gkap1,  Gkn3,  Glipr1l1,  Glis1,  Glis2,  Gm10499,  Gm10651,  Gm11100,  Gm12258,  Gnai1,  Gnb4,  Gprasp2,  Grb10,  Grina,  Gspt2,  Gsta4,  Gstm1,  H2-Eb1,  Hbegf,  Hdac11,  Hey1,  Hid1,  Hilpda,  Hivep3,  Hmga2,  Hoxa10,  Hoxa2,  Hoxa5,  Hoxb3,  Hoxb5,  Hoxb7,  Hs1bp3,  Ick,  Id4,  Ifitm1,  Igf1,  Igf1r,  Igf2,  Igf2r,  Ikzf4,  Il11ra1,  Impad1,  Inha,  Inhba,  Insrr,  Ipo11,  Iqsec2,  Irf6,  Itsn1,  Jag2,  Jam2,  Jam3,  Kazald1,  Kazn,  Kcnip3,  Klf12,  Klhl13,  Klrb1c,  Lima1,  Lrch2,  Ltbp3,  Lurap1,  Lysmd2,  Maf,  Maged1,  Magee1,  Magi1,  Magi2,  Mapk12,  Mapk14,  Mapre3,  Mdfi,  Mfap2,  Mgst1,  Mgst2,  Mks1,  Mllt3,  Mmp2,  Mmp28,  Mmrn1,  Mn1,  Morc4,  Mpdz,  Mpp7,  Mpzl1,  Msrb3,  Mtf2,  Mum1l1,  Myct1,  Mylk,  Myo10,  Myo5c,  Myof,  Nabp1,  Naip5,  Nap1l3,  Nav2,  Nbea,  Nbeal2,  Ndn,  Ndrg2,  Ndrg4,  Neb,  Neil2,  Neo1,  Neto2,  Neu1,  Nfat5,  Nicn1,  Nlrc5,  Nova1,  Npas2,  Nphp1,  Npr2,  Nr4a2,  Nrxn1,  Ntf5,  Nudt11,  Obscn,  Obsl1,  Ociad2,  Ocln,  Osgin1,  P2rx1,  P2ry14,  Panx2,  Pbld1,  Pbx3,  Pcbd1,  Pcdh10,  Pcdhb17,  Pcgf5,  Pde1b,  Pde6h,  Pde8a,  Pdgfc,  Pdk4,  Peg12,  Peg3,  Per3,  Pex13,  Pgr,  Phlda2,  Phldb1,  Phldb2,  Pitx2,  Pkia,  Pkn1,  Pkp2,  Pla2g7,  Plekhg1,  Plekhg6,  Plscr4,  Plxdc2,  Pnck,  Polb,  Pon1,  Pon3,  Pou2f2,  Ppp1r11,  Ppp1r16b,  Pqlc3,  Prdm16,  Prkg1,  Prnp,  Prr15,  Prss41,  Psma8,  Ptges,  Ptgs1,  Ptov1,  Ptpn21,  Pvr,  Rab20,  Rab27b,  Rab38,  Rai14,  Rai2,  Ranbp2,  Rarb,  Rbbp6,  Rbbp9,  Rbpms,  Rc3h2,  Rfxank,  Rgl1,  Rhbdf1,  Rhbdf2,  Rhobtb1,  Rhobtb3,  Rhoj,  Rilp,  Ripk4,  Rnf180,  Robo4,  Rora,  Rpp30,  Rufy2,  Runx1t1,  Rusc2,  Rwdd3,  Ryk,  Ryr3,  Samhd1,  Sat1,  Scmh1,  Sdc2,  Sdc4,  Sema4b,  Sema6d,  Serpinb8,  Serpinf1,  Setbp1,  Sfrp1,  Sgms1,  Sgsm1,  Sh3gl3,  Sh3rf3,  Shank3,  Shd,  Shroom3,  Siah2,  Slc16a12,  Slc16a9,  Slc17a8,  Slc18a2,  Slc19a3,  Slc22a3,  Slc23a2,  Slc2a10,  Slc35d1,  Slc39a13,  Slc6a15,  Slc9a3r2,  Smad1,  Smarca1,  Snap23,  Snn,  Snrpn,  Sntg2,  Socs2,  Sorbs2,  Sox5,  Sox9,  Speg,  Spin4,  Spo11,  Spred1,  Src,  St3gal6,  St7,  Stox2,  Stx1a,  Sult1a1,  Sytl4,  Tac1,  Tbc1d8,  Tbr1,  Tbxas1,  Tceal1,  Tcf12,  Tcf3,  Tcf7l2,  Tead2,  Tead3,  Tek,  Tfpi,  Tgfa,  Tgm2,  Thsd1,  Timp3,  Tle1,  Tle2,  Tle6,  Tm4sf1,  Tmcc1,  Tmtc2,  Tnip3,  Tnk2,  Tnks1bp1,  Tox,  Traf1,  Trib2,  Trib3,  Trim14,  Trim16,  Trim47,  Trim6,  Trpc6,  Tslp,  Ttc19,  Ttc3,  Ttc30b,  Ttc8,  Ttpa,  Unc45b,  Upp1,  Usp27x,  Usp53,  Vasn,  Vat1,  Vdr,  Vegfc,  Vldlr,  Vnn1,  Vwf,  Wdr78,  Wfdc2,  Wnk4,  Wwtr1,  Xkr6,  Yes1,  Ypel2,  Zbtb4,  Zcchc12,  Zfand5,  Zfp111,  Zfp184,  Zfp354a,  Zfp37,  Zfp467,  Zfp521,  Zfp612,  Zfp618,  Zfp64,  Zfp831,  Zfp945,  Zfr2,  Znfx1,  Zxdb,  Ptprc,  Il7r"
Mouse,Blood,Hematopoietic cell,"Vav1, Ptprc,  Ly76, Kit"
Mouse,Blood,Embryonic stem cell,"B2m,  Bmp4,  T2,  Fgf4,  Lif,  Lifr,  Nanog,  Pou5f1,  Zfp42,  Sox2,  Stat3,  Tert, Alpl,  Fut4, Pou5f1, Nanog, Kit,  Cd24a,  Itgb1,  Pecam1,  Cdh1,  Epcam,  Cd59a,  Cd9"
Mouse,Blood,Mesenchymal progenitor cell,"Cd14, Pdgfra, Eng,  Alcam,  Cd44,  Nt5e, Acta2, S100a4,  NA, Ccnb2,  Cd52,  Cks2,  Ezh2,  H2afx,  Hist1h2ap,  Hmgb2,  Hmgb3,  Mcm5,  Mcm6,  Ube2c,  Uhrf1"
Mouse,Blood,CD3+ T cell,"Cd3d,  Cd3e,  Cd3g"
Mouse,Blood,CD8+ T cell,"Cd8a, Cd27,  Cd28,  Cd3d,  Cd3e,  Cd3g,  Cd5,  Cd8a,  Cd8b1,  Nkg7,  Tcf7,  Trbc2"
Mouse,Blood,Leukocyte,Ptprc
Mouse,Blood,Polymorphonuclear neutrophil,Ly6g
Mouse,Blood,Cancer cell,"CK family,  Epcam"
Mouse,Blood,Basophil,"Mcpt8, Ptprc,  Itga2,  Fcer1a, Kit,  Itga2b, Itgal,  Il3ra,  Il5ra,  Anpep,  Cd40lg,  Ccr2,  Il18r1,  Il18rap,  Il2ra,  Tlr1,  Tlr2,  Tlr4,  Tlr6,  Tlr9,  Ptgdr2,  Cd33,  Cd38,  Spn,  C5ar1,  Cd9,  Cebpa,  Gata2,  Itgam,  Cd200r3, Prss34, Cebpa,  Etv6,  Foxp1,  Lmo4,  Mpo,  Prss34,  Spi1,  Runx1,  Stat3, Alox5,  Cd53,  Cpa3,  Ifitm1,  Ly6e,  Mcpt8,  Srgn"
