speciesType,tissueType,cellName,geneSymbol
Mouse,Blood,Megakaryocyte,"Itga2b,  Gp1ba,  Itgb3, Kit,  Slamf1,  Itga2b,  Thy1,  Cxcr4, Bsg,  Cd151,  Cd40lg,  Pecam1,  Itgav,  Selp,  Cd93,  Lrrc32,  NA, Pf4, Cd41,  Cited2,  Etv6,  Fli1,  Foxp1,  Gata2,  Mef2c,  Meis1,  Pbx1,  Pf4,  Stat3,  Zfpm1,  Vwf"
Mouse,Blood,Myeloid cell,"Itgam,  Ly6g, Ly6g,  Itgam, Csf1r,  Kit,  Ifngr1,  Itgax,  Il2rb,  Il3ra,  Il6ra,  Il7r,  Anpep,  Cd14,  Thbd,  Cd40lg,  Fcgr3,  Siglecf,  Cxcr2,  Cd19,  Ccr2,  Ccr3,  Ccr4,  Cd1d1,  Enpp3,  Mrc1,  Il18r1,  Fcer2a,  Cd24a,  Pdcd1lg2,  Tlr2,  Tlr4,  Ptgdr2,  Pecam1,  Cdh1,  Cd33,  Cd34,  Cr2,  Tnfrsf18,  Cd38,  Cd40,  Itga2b,  Spn,  Cd44,  Ptprc,  Itga2,  Sell,  Fcgr1,  Cd68,  Cd69,  Cd80,  Cd84,  Cd86,  Plaur,  Cd9,  Thy1,  Cd93,  Cx3cr1,  Adgre1,  Fcer1a,  Flt3,  Il1r1,  Il1r2,  Il1r1,  Il1r2,  Nos2,  Ly6c1,  Ly6a, Ifi207,  Alox5ap,  Apobec1,  Apoe,  Arhgdib,  Bcl2a1d,  Ccl9,  Cd53,  Clec4a2,  Clec7a,  Coro1a,  Cotl1,  Csf1r,  Csf2rb,  Cst3,  Ctsb,  Ctsc,  Ctsd,  Ctss,  Cybb,  Dab2,  Efhd2,  F13a1,  Fcer1g,  Fcgr2b,  Fermt3,  Fth1,  Fyb,  NA,  Hexa,  Ifi203,  Ifi204,  Igsf6,  Laptm5,  Lcp2,  Lgmn,  Lilrb4,  Lrmp,  Ly86,  Lyz2,  Milr1,  Ms4a6c,  Ms4a6d,  Ncf2,  Ncf4,  Ptafr,  Pycard,  Rac2,  Rassf4,  Runx1,  Sirpa,  Slfn2,  Tpd52,  Trem2,  Trpv2,  Tyrobp,  Uckl1,  Unc93b1, Adgre1,  Cd209a,  Lgals3,  Ly6c2"
Mouse,Blood,Neutrophil,"Ly6g,  NA, Prtn3, Itgam,  Cxcr4,  Ly6g,  Siglecf,  MHC class II, Itgae,  Nectin2,  Csf3r,  Csf2ra,  Fut4,  Bst1,  Cd177,  Cxcr1,  Cd24a,  Tlr1,  Tlr2,  Tlr4,  Tlr6,  Tlr9,  Cr2,  Spn,  Ceacam1,  Cd93, Csf1r,  Itgam, 1110008F13Rik,  AA467197,  Abtb1,  Adam8,  Adipor1,  Alox5ap,  Anxa1,  Arg2,  Asprv1,  Btg2,  C5ar1,  Card19,  Ccl3,  Ccl6,  Ccl9,  Ccr1,  Ccrl2,  Cd300ld,  Cd300lf,  Cdk2ap2,  Cfp,  Chil1,  Clec4d,  Clec4e,  Csrp3,  Cxcl2,  Cxcr2,  Cyp4f18,  Dgat1,  Dhrs7,  Dusp1,  Eif4ebp1,  Fos,  Fxyd5,  G0s2,  Gda,  Gdpd3,  Glipr2,  Glrx,  Gm5150,  Gm5483,  Gmfg,  Grina,  Gsr,  H2-Q10,  Hacd4,  Hdc,  Hp,  Ier2,  Ifitm1,  Ikbkap,  Il17ra,  Il1b,  Il1f9,  Il1r2,  Junb,  Lcn2,  Lilr4b,  Litaf,  Lrg1,  Map1lc3b,  Mcemp1,  Mcl1,  Mmp8,  Mmp9,  Mrgpra2b,  Mrpl33,  Msrb1,  Mxd1,  Ncf1,  Ngp,  Oas3,  Osm,  Pgd,  Pglyrp1,  Pilra,  Pilrb2,  Plp2,  Pnkp,  Prr13,  Ptgs2,  Ptp4a1,  Pygl,  R3hdm4,  Rara,  Rassf3,  Rdh12,  Retnlg,  Rgs2,  Riok3,  Rnf144a,  S100a11,  S100a6,  S100a8,  S100a9,  Slc16a3,  Slc7a11,  Slfn1,  Slfn4,  Socs3,  Sorl1,  Srgn,  Stfa2l1,  Stk17b,  Taldo1,  Tpd52,  Trem1,  Trem3,  Trim30b,  Txn1,  Tyrobp,  Ube2b,  Wfdc17,  Wfdc21,  Zfp36,  Zyx, Fcnb,  Gstm1,  Ltf, Cebpe,  Cebpa,  Etv6,  Foxp1,  Gfi1,  Spi1,  Stat3,  Elane, Elane,  Lyz2,  Mpo,  Prtn3"
Mouse,Blood,Monocyte,"Cd48, Ly6c1,  Ly6g,  NA, Itgam,  Cd68,  Adgre1, Adgre1, Ly6g,  Ly6c1,  Cd19,  Cd3d,  Cd3e,  Cd3g,  Klrb1c, Csf1r,  Itgam,  Cx3cr1, Ccr2,  Csf1r,  Ly6c2, Itgax,  Cd14,  Fcgr3, Pithd1,  Ppp1r18,  ,  2310061I04Rik,  Abcd1,  Abr,  Acap2,  Adcy7,  Add1,  Add3,  Adipor1,  AI467606,  Alkbh7,  Ap1m1,  App,  Arhgap1,  Arhgdib,  Arhgef18,  Arpp19,  Aurkaip1,  B9d2,  Bin1,  Brd4,  Bri3,  Calm2,  Ccnd1,  Cd180,  Cd7,  Cdc42se2,  Cdk5rap3,  Cfp,  Chka,  Chst12,  Clic1,  Clta,  Commd7,  Cox8a,  Crip1,  Csk,  Csnk1g2,  Cst3,  Ctnnb1,  Cux1,  Cxcr3,  Cyp27a1,  Dcaf15,  Dctpp1,  Dcxr,  Ddb1,  Ddx42,  Def6,  Dhx57,  Dscr3,  Emp3,  Etfb,  Fam168b,  Fkbp15,  Foxo1,  Fxyd5,  Gimap6,  Gpi1,  Grap,  Gtf3a,  H2-Ke6,  Hadhb,  Hagh,  Hdac5,  Herpud1,  Hip1r,  Hmgcl,  Hnrnpl,  Hspa1b,  Ifnar2,  Igsf8,  Il17ra,  Itgb7,  Kcnn4,  Klf13,  Klf2,  Klf3,  Ldb1,  Lgals3,  Lime1,  Lrwd1,  Madd,  Map3k3,  Map4k1,  Mbtps1,  Mrpl18,  Mrpl40,  Myh9,  Naa10,  Nbeal2,  Ndufb5,  Nipbl,  Npc1,  Nrm,  Nub1,  Nudt16l1,  Phax,  Pnn,  Pnpla7,  Ppp1ca,  Prkacb,  Prkd2,  Psmd4,  Ptpn6,  Rasal3,  Rasgrp2,  Rbm38,  Reep4,  Rheb,  S1pr4,  Sgk1,  Slc50a1,  Slpi,  Smc4,  Snx3,  Sra1,  Srsf9,  Stk38,  Sumf1,  Tbc1d10c,  Tbc1d17,  Tcp11l2,  Tmed3,  Tmem14c,  Tmem160,  Tmem208,  Tmem59,  Tpi1,  Tpm1,  Tprgl,  Trim8,  Tsnax,  Tspan32,  Vim,  Vps16,  Wbp2,  Wdfy4,  Ly86, Tmem258,  Ass1,  C1galt1c1,  Clec7a,  Ctsc,  Ctss,  Cxcr4,  Emb,  F13a1,  Glipr1,  Gria3,  Hpse,  Klf4,  Lgals1,  Mefv,  Mfsd1,  Ms4a6c,  Papss2,  Prdx4,  Psma2,  Rassf4,  Rgs10,  S100a10,  S100a4,  Tfec,  Tgfbi,  Tifab,  Trem2, Hbb-bs,  Car2,  Cited4,  E2f4,  Gata1,  Gata2,  Gfi1b,  Hba-a2,  Hmgb3,  Klf1,  Mbd2,  Phb2,  Phf10,  Tcf3,  Zfpm1, Ccl6,  Cebpb,  Cmpk2,  Ctsd,  Cxcl1,  Cxcl2,  Cxcl3,  Ifit1,  Il1b,  Il6,  Ly6e,  Lyz2,  Ptgs2,  Tnf, Ctss,  Cybb,  Irf8,  Ly6a"
Mouse,Blood,B cell,"Ptprc, Spn,  Ptprc,  Cd40lg, Cd19,  Cd79a,  Cd19,  Cd5,  Adgre1, Gstm1, Fasn, Cd22,  Spn, Ms4a1, Cd5,  Cd24a, Kit, Bcr,  Enpep,  Ccr10,  Itgae,  Kit,  Ifngr1,  Itgam,  Il2rb,  Il6ra,  Il7r,  Sdc1,  Fcgr3,  Cxcr4,  Cxcr5,  Cd1d1,  Ms4a1,  Cr2,  Cd22,  Fcer2a,  Il2ra,  Cd27,  Pdcd1lg2,  Pecam1,  Bst2,  Slamf7,  Cdh1,  Cd320,  Cd34,  Tnfrsf18,  Cd38,  Entpd1,  Cd40,  Cd44,  Itga2,  Sell,  Nt5e,  Cd80,  Cd84,  Cd86,  Cd9,  Cd93,  Flt3,  IgD family,  Il1r1,  Il1r2,  MHC Class II,  NA,  Ly6a, Cd180,  Tnfsf4,  Cd36,  Cd69,  Cd81, Cd79a,  Cd79b,  Ly6d,  Mzb1, Cd69,  Cxcl10,  Ifi47,  Ifit1,  Ifit2,  Ifit3,  Igtp,  Irf7,  Irgm1,  Isg15,  Isg20,  Mx1,  Oasl1,  Parp14,  Rgs1,  Rsad2,  Usp18, 4930523C07Rik,  Bank1,  Blnk,  Btla,  Cd37,  Ckap4,  Cmah,  Creld2,  Derl3,  Dnajc3,  Eaf2,  Ebf1,  Edem1,  Edem2,  Fam46c,  Fchsd2,  Fcmr,  Fcrla,  Fkbp11,  Gm8369,  H13,  H2-DMb2,  H2-Oa,  H2-Ob,  Hsp90b1,  Hspa5,  Hvcn1,  Jchain,  Krtcap2,  Manf,  Mef2c,  Pafah1b3,  Pax5,  Pold4,  Pou2af1,  Prdx4,  Ptp4a3,  Ralgps2,  Rexo2,  Scd1,  Sdf2l1,  Sec11c,  Sec61a1,  Sec61b,  Serp1,  Siglecg,  Slpi,  Smap2,  Snx2,  Spcs3,  Spib,  Srp9,  Ssr4,  Tnfrsf13b,  Tnfrsf13c,  Tnfrsf17,  Trp53inp1,  Txndc11,  Txndc5,  Vpreb3,  Xbp1, Fcrla,  Vpreb1, Cd79b"
Mouse,Blood,Platelet,"Itga2b,  Ly76, Slamf1,  Thy1,  Itga2,  Gp1ba,  Gp1bb,  Gp6, Lamp1,  Lamp2,  Mpl,  Bsg,  Cd151,  Fcer2a,  Itga2b,  Gp9,  Gp1ba,  Gp1bb,  Spn,  Cd44,  Cd47,  Itga6,  Itgav,  Itgb3,  Selp,  Cd63,  Cd69,  Cd93,  Lrrc32,  NA"
Mouse,Blood,Red blood cell (erythrocyte),"Itga2b,  Ly76, Ly76, Cd24a,  Ptprc,  Itgav,  Itgb3, Car1,  Hba-a2, Hbb-bs,  Car2,  Cited4,  Gata1,  Gata2,  Gfi1b,  Klf1,  Phf10,  Zfpm1,  Clec4d,  Mfsd2b,  Nfia,  Slc45a3"
Mouse,Blood,T cell,"Cd3d,  Cd3e,  Cd3g, Cd4, Cd8a,  Cd8a,  NA, Cd2,  Cd4,  Cd5, Sell, Gstm1, Thy1,  Thy1, Cd44,  Sell,  Cd69,  Pdcd1, Ccr10,  Itgae,  Kit,  Ifngr1,  Itgax,  Il2rb,  Il6ra,  Il7r,  Pdgfra,  Pdgfrb,  Slamf1,  Cd40lg,  Cd160,  Klrb1b,  Klrb1c,  Fasl,  Cxcr3,  Cxcr4,  Cxcr5,  Ccr3,  Ccr4,  Ccr5,  Ccr6,  Cd1d1,  Cd2,  Cd200,  Il12rb1,  Il18r1,  Cd24a,  Il2ra,  Ptgdr2,  Cd3d,  Pecam1,  Cd34,  Cr2,  Tnfrsf18,  Cd38,  Entpd1,  Cd40,  Spn,  Cd44,  Ptprc,  Itga2,  Itgav,  B3gat1,  Itgb3,  TFRC,  Nt5e,  Cd80,  Cd84,  Plaur,  Klrd1,  Cd96,  Ccr8,  Cx3cr1,  Flt3,  Foxp3,  Il1r1,  Il1r2,  Il1r1,  Il1r2,  Il21r,  Il9,  Zbtb16,  Rorc,  Ly6a, Cd3e, Bcl11b,  Cxcr6,  Fam189b,  Gimap3,  Itk,  Lef1,  Ltb,  Rapgef6,  Rasgrp1,  Rpl12,  Rplp1,  Rps16,  Rps23,  Rps4x,  Satb1,  Socs2,  Tpt1"
Mouse,Blood,Natural killer cell,"Klrb1c, Itga1,  Cxcr6, Itgax,  Ncr1, Itgae,  Itgae,  Kit,  Ifngr1,  Il2rb,  Il7r,  Fcgr3,  Cd160,  Klrb1,  Klrb1b,  Klrb1c,  Cxcr2,  Cxcr3,  Ccr6,  Cd1d1,  Cd2,  Il12rb1,  Pecam1,  Klrk1,  Slamf7,  Cd34,  Cd4,  Spn,  Cd44,  Ptprc,  Itga2,  B3gat1,  Cd69,  Cd8a,  Plaur,  Thy1,  Klrd1,  Cd96,  Cx3cr1,  Flt3,  Klrg1,  MHC class II,  Zbtb16,  Rorc,  Ly6a,  Il1rl1, Itgam,  Cd226,  Il2ra,  Nfil3,  Eomes,  Gata3,  Id2,  Ly-49 family,  Runx1,  Agpat2,  Tigit,  Tox, Klra8,  Klrc1, Fcgr3,  Ncam1, Cap1,  Ccl5,  Ccnd2,  Chsy1,  Cma1,  Cst7,  Ctla2b,  Ctsw,  Dapk2,  Dok2,  Dusp2,  Fasl,  Gem,  NA,  Gzma,  Gzmb,  Hsd11b1,  Ifitm10,  Il18rap,  Irf8,  Itgb2,  Jak1,  Klra1,  Klra4,  Klra7,  Klra8,  Klra9,  Klrb1a,  Klrb1f,  Klrc2,  Klre1,  Lamb3,  Lfng,  Nkg7,  Pole4,  Prf1,  Samd3,  Tbx21,  Txk,  Ugcg,  Vps37b, Ccl5,  Cebpa,  Etv6,  Foxp1,  Mpo,  Spi1,  Stat3"
Mouse,Blood,Dendritic cell,"Itgax,  Cd74,  Cd83,  Cd86,  Cd80,  Tlr9, Ccr7,  Itgax,  Cd40,  MHC class II, Cd80, Cd83, Itgam,  Cd19,  Cd3d,  Cd3e,  Cd3g,  Ly6g,  Klrb1c, MHC class II,  Cd24a,  Ptprc,  Siglecf,  Xcr1, Nectin2, Cd209a,  Flt3,  H2-Eb1,  Cd14,  Fcgr3, Cd74,  Cebpa,  Chd3,  Elf1,  Etv6,  Foxp1,  Id2,  Irf8,  Nfe2,  Spi1,  Sox4,  Stat3, Basp1,  Ccl5,  Fscn1,  S100a4,  Tcf7, Ccl22,  Ccr7,  Cst3,  H2-Ab1,  Ifit1, Batf3,  Ifi205,  Mycl,  Slamf7,  H2-Aa"
Mouse,Blood,CD4+ T cell,"Cd4,  Ly6c1, Cd44,  Ptprc,  Sell, Il7r,  Tnfrsf4,  Tnfrsf9,  Cd40lg,  Il2ra,  Cd27,  Btla,  Icos,  Cd28,  Cd3d,  Cd3e,  Cd3g,  Cd4,  Cd44,  Cd5,  Sell,  Sele,  Selp,  Cd69,  Cd7,  Ctla4,  Pdcd1,  Igfbp4,  Tcf7,  Trbc2"
Mouse,Blood,Activated CD8+ T cell,"Ccl5,  Cd8a,  Cd8b1,  Tcf7,  Trbc2"
Mouse,Blood,Inflammatory monocyte,"Ccl5,  S100a4"
Mouse,Blood,Germinal center B cell,"Fasn,  Prss57,  IgD family, Bcl6,  Tnfrsf13c,  Ptprc,  Fas,  NA,  Cd40lg, Aicda,  Bach2,  Bcl6,  Cd19,  Cd81,  IgG family,  Irf8,  Pax5, Basp1,  Cd79b,  Jchain"
Mouse,Blood,Induced regulatory T (Treg) cell,"Nrp1, Izumo1r,  Tcf7,  Trbc2"
Mouse,Blood,Regulatory T (Treg) cell,"Itga2,  Lag3, Il2ra,  Cd4,  Itga2, Nrp1,  Foxp3,  Cd3d,  Cd3e,  Cd3g,  Entpd1,  Ptprc,  Nt5e,  Ikzf2,  Il10,  Il12a,  Ebi3,  Mki67,  TGF-beta family, Cd101,  Il1r1,  Il1r2,  Tnfrsf9,  Ctla4,  Il2ra,  Nrp1,  Tnfrsf18,  Rel,  Ikzf4,  Izumo1r,  Lrrc32,  NA,  Stat5a,  Stat5b,  Tigit, Izumo1r,  Tcf7,  Trbc2"
Mouse,Blood,Ly6c+ monocyte,"Ccr2,  Lyz2,  S100a4"
Mouse,Blood,Plasmacytoid dendritic cell,"Tlr7,  Tlr9,  Bst2,  Ptprc,  Tcf4,  Irf8,  Siglech, Mcemp1,  Cox14,  NA,  Pagr1a,  Efcab14,  Babam1,  Acp5,  Uqcc3,  Akr1a1,  Alas1,  Ankrd13a,  Ano6,  Arl6ip4,  Atox1,  Atp2a3,  Atp5c1,  Atp5j2,  Dmac2,  Atpif1,  Avpi1,  Dst,  C1qa,  C1qc,  Capns1,  Cd68,  Cd74,  Cdc42ep3,  Chchd3,  Coro1b,  Coro7,  Cstb,  Rsrp1,  Dnajb9,  Ehbp1l1,  Eif3f,  Eif4ebp1,  Elof1,  Exoc2,  Fam173a,  Fam32a,  Tpgs1,  Gm5617,  Gngt2,  Gpx4,  Gusb,  H2-Aa,  H2-Ab1,  H2-Eb1,  Haao,  Haus8,  Hint1,  Hsd17b10,  Idh2,  Ifi30,  Il10rb,  Il12b,  Inpp4a,  Ip6k1,  Itgax,  Itm2b,  Lamp1,  Map1lc3b,  Mcm6,  Mdh2,  Mrpl34,  Ms4a7,  Ncor1,  Ndufa10,  Ndufa9,  Ndufb8,  Neurl3,  Nudt3,  P4hb,  Pip5k1c,  Pisd,  Pkn1,  Pkp3,  Plaur,  Plod3,  Plxnb2,  Plxnd1,  Ppp1r12c,  Pqlc1,  Psen2,  Psmc4,  Ptcd2,  Pycr2,  Qdpr,  Rasa3,  Rbbp7,  Rbm25,  Rogdi,  Rplp0,  Rplp1,  Rps20,  Rxra,  Sae1,  Scamp4,  Senp6,  Slc8b1,  Slc29a3,  Slc43a2,  Slc44a2,  Slc9a3r1,  Snrpd3,  Snrpf,  Spns3,  Srp14,  Ssrp1,  Syf2,  Tfeb,  Tmem176a,  Tmem176b,  Tspan14,  Ube2j1,  Usp48,  Vac14,  Bud23,  Wdr89,  Ywhah,  Zbtb7a,  Zcchc24,  Zeb2, Siglech, Bst2,  Ly6d"
