speciesType,tissueType,cellName,geneSymbol
Mouse,Bone marrow,Erythroid precursor,"Tfrc,Ly76"
Mouse,Bone marrow,Granulocyte,"Cd48,Ifng,Il6,Ccl12,Mpo,Tnf,Itgam,Cd19,Cd3d,Cd3e,Cd3g,Ly6g,Klrb1c,Fcgr3,Cdh1,Ccr3,Itga2,Ly6c1,Siglecf,Camp,Ngp,S100a8,S100a9,Cebpe,Chd7,Far2,Gfi1,Lyz1,,Prkcb,Tanc1,Tmem53,Trem3"
Mouse,Bone marrow,Granulocyte-monocyte progenitor,"Kit,Fcgr3,Cdh1,Cd34,Itga2b,Ly6a,"
Mouse,Bone marrow,Hematopoietic cell,"Vav1,Ptprc,Ly76,Kit"
Mouse,Bone marrow,Hematopoietic progenitor cell,"Kdr,Cd34,Kit,Cd34,Flt3,Ly6a"
Mouse,Bone marrow,Hematopoietic stem cell,"Itgal,Procr,Slamf1,Cd48,Pecam1,Kit,Ly6a,Cd38,Abcg2,Cd34,Thy1,Emcn,Cd34,Kit,Slamf1,Ptprc,,Itgam,Cd19,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Ly6g,Ly76,Cd47,Flt3,Cyld,Cyp26b1,Gprc5c,Btg2,Ctla2a,Egr1,Fosb,Gata2,Gm17757,Hlf,Ikzf2,Mecom,Meis1,Mpl,Pbx1,Pigr,Cavin1,Satb1,Sox4,Tsc22d1,Maged2,Plcb4,Rbp1,1110008F13Rik,1700094D03Rik,1810062G17Rik,2010111I01Rik,2210017G18Rik,2510009E07Rik,2700081O15Rik,2900006B11Rik,2900018N21Rik,2900072G11Rik,2900084O13Rik,2900092N22Rik,5230400M06Rik,5730409L17Rik,5830408B19Rik,6030498E09Rik,6330403K07Rik,6720407P12Rik,6720422M22Rik,6720454L07Rik,8430408G22Rik,9030425L15Rik,9130008F23Rik,9330156P08Rik,9530010C24Rik,A130009I22Rik,A3galt2,A730056I06Rik,A730059M13Rik,Abca5,Abcg3,Actn3,Acvr2a,Adam22,Adarb1,Adcy7,Adcy9,Adipor1,Adrb2,Agpat4,AI661453,AI956758,Ak3,Ak7,Aldh1a1,Aldoc,Amigo2,Anxa4,Apoe,App,Aqp1,Arhgap29,Arhgap31,Arl10,Asb4,Asph,Atg4c,Atp10d,Atp9a,Bgn,Birc3,Bmp2,Bmper,Btbd3,C030034E14Rik,C1rl,C230037E05Rik,C77080,Cables1,Cacnb2,Cadps2,Calml4,Car3,Car9,Card10,Casp12,Cav2,Cbr3,Ccdc136,Ccdc152,Ccdc157,Ccr5,Cd151,Cd28,Cd74,Cdcp1,Cdkn1c,Cds1,Chad,Chst15,Chst2,Chst7,Cldn12,Cldn4,Clec1a,Clu,Col1a2,Col4a1,Col4a2,Coro2b,Cpa3,Cpn1,Cpne8,Crebl2,Crebrf,Crispld1,Cry2,Csdc2,Csf2rb2,Cstf2t,Ctf1,Ctsf,Cttn,Cttnbp2,Cttnbp2nl,Cul7,Cx3cl1,Cyp2j9,Cyp7b1,Cystm1,D630039A03Rik,D630045J12Rik,Ddx39,Dennd4a,Dhx57,Disc1,Dkkl1,Dlc1,Dmd,Djb5,Dnhd1,Dnmt3b,Dock1,Dock6,Dock7,Dpys,Dsel,Dsg2,Dusp26,Dusp3,E130308A19Rik,Ef1,Egln3,Ehd3,Elmo3,Emp1,Eh,Eng,Eno2,Erp27,Esr1,Exoc6b,Exph5,Eya1,F11r,F830016B08Rik,Fads2,Fam131a,Fam213a,Fam222b,Fam83h,Fam84b,Fbxl17,Fcgrt,Fgd5,Fgf11,Fgfr3,Fhl1,Fkbp1b,Fkbp9,Flywch2,Foxa3,Fstl1,Fut4,Fzd3,Fzd4,Fzd6,Galnt3,Gas6,Gata1,Gata3,Gbp10,Gbp6,Gbp8,Gbp9,Gcnt2,Gda,Gdf3,Gfi1,Ghr,Gimap3,Gimap5,Gimap8,Gja1,Gjb5,Gkap1,Gkn3,Glipr1l1,Glis1,Glis2,Gm10499,Gm10651,Gm11100,Gm12258,Gi1,Gnb4,Gprasp2,Grb10,Gri,Gspt2,Gsta4,Gstm1,H2-Eb1,Hbegf,Hdac11,Hey1,Hid1,Hilpda,Hivep3,Hmga2,Hoxa10,Hoxa2,Hoxa5,Hoxb3,Hoxb5,Hoxb7,Hs1bp3,Ick,Id4,Ifitm1,Igf1,Igf1r,Igf2,Igf2r,Ikzf4,Il11ra1,Impad1,Inha,Inhba,Insrr,Ipo11,Iqsec2,Irf6,Itsn1,Jag2,Jam2,Jam3,Kazald1,Kazn,Kcnip3,Klf12,Klhl13,Klrb1c,Lima1,Lrch2,Ltbp3,Lurap1,Lysmd2,Maf,Maged1,Magee1,Magi1,Magi2,Mapk12,Mapk14,Mapre3,Mdfi,Mfap2,Mgst1,Mgst2,Mks1,Mllt3,Mmp2,Mmp28,Mmrn1,Mn1,Morc4,Mpdz,Mpp7,Mpzl1,Msrb3,Mtf2,Mum1l1,Myct1,Mylk,Myo10,Myo5c,Myof,bp1,ip5,p1l3,v2,Nbea,Nbeal2,Ndn,Ndrg2,Ndrg4,Neb,Neil2,Neo1,Neto2,Neu1,Nfat5,Nicn1,Nlrc5,Nova1,Npas2,Nphp1,Npr2,Nr4a2,Nrxn1,Ntf5,Nudt11,Obscn,Obsl1,Ociad2,Ocln,Osgin1,P2rx1,P2ry14,Panx2,Pbld1,Pbx3,Pcbd1,Pcdh10,Pcdhb17,Pcgf5,Pde1b,Pde6h,Pde8a,Pdgfc,Pdk4,Peg12,Peg3,Per3,Pex13,Pgr,Phlda2,Phldb1,Phldb2,Pitx2,Pkia,Pkn1,Pkp2,Pla2g7,Plekhg1,Plekhg6,Plscr4,Plxdc2,Pnck,Polb,Pon1,Pon3,Pou2f2,Ppp1r11,Ppp1r16b,Pqlc3,Prdm16,Prkg1,Prnp,Prr15,Prss41,Psma8,Ptges,Ptgs1,Ptov1,Ptpn21,Pvr,Rab20,Rab27b,Rab38,Rai14,Rai2,Ranbp2,Rarb,Rbbp6,Rbbp9,Rbpms,Rc3h2,Rfxank,Rgl1,Rhbdf1,Rhbdf2,Rhobtb1,Rhobtb3,Rhoj,Rilp,Ripk4,Rnf180,Robo4,Rora,Rpp30,Rufy2,Runx1t1,Rusc2,Rwdd3,Ryk,Ryr3,Samhd1,Sat1,Scmh1,Sdc2,Sdc4,Sema4b,Sema6d,Serpinb8,Serpinf1,Setbp1,Sfrp1,Sgms1,Sgsm1,Sh3gl3,Sh3rf3,Shank3,Shd,Shroom3,Siah2,Slc16a12,Slc16a9,Slc17a8,Slc18a2,Slc19a3,Slc22a3,Slc23a2,Slc2a10,Slc35d1,Slc39a13,Slc6a15,Slc9a3r2,Smad1,Smarca1,Sp23,Snn,Snrpn,Sntg2,Socs2,Sorbs2,Sox5,Sox9,Speg,Spin4,Spo11,Spred1,Src,St3gal6,St7,Stox2,Stx1a,Sult1a1,Sytl4,Tac1,Tbc1d8,Tbr1,Tbxas1,Tceal1,Tcf12,Tcf3,Tcf7l2,Tead2,Tead3,Tek,Tfpi,Tgfa,Tgm2,Thsd1,Timp3,Tle1,Tle2,Tle6,Tm4sf1,Tmcc1,Tmtc2,Tnip3,Tnk2,Tnks1bp1,Tox,Traf1,Trib2,Trib3,Trim14,Trim16,Trim47,Trim6,Trpc6,Tslp,Ttc19,Ttc3,Ttc30b,Ttc8,Ttpa,Unc45b,Upp1,Usp27x,Usp53,Vasn,Vat1,Vdr,Vegfc,Vldlr,Vnn1,Vwf,Wdr78,Wfdc2,Wnk4,Wwtr1,Xkr6,Yes1,Ypel2,Zbtb4,Zcchc12,Zfand5,Zfp111,Zfp184,Zfp354a,Zfp37,Zfp467,Zfp521,Zfp612,Zfp618,Zfp64,Zfp831,Zfp945,Zfr2,Znfx1,Zxdb,Ptprc,Il7r"
Mouse,Bone marrow,Immature dendritic cell,"Cd74,Cd86,Cst3,H2-Ab1,H2-Eb1"
Mouse,Bone marrow,Long-term hematopoietic stem cell,"Cish,Esam,F11r,Mmrn1,Procr,Scarf1,Tgm2,Tie1,Tigl1,Trpc6"
Mouse,Bone marrow,Lymphocyte,"Cd19,Cd3d,Cd3e,Cd3g,Ncam1,Cd2,Cd8a,Klrb1c,Cd3d,Cd79a,Cd8b1,Nkg7,Cd37,Cd3g,Cd52,Coro1a,Cxcr6,Gmfg,Klk8,Lat,Lgals3,Lsp1,Pim1,Ptprcap,Rgcc,Rgs1,Srgn,Ccl5,Ccr7,Ccr9,Dntt,Flt3,Igll1,Lck,Lef1,Mzb1,Vpreb1,Vpreb3"
Mouse,Bone marrow,Lymphoid-primed multipotent progenitor,"Kit,Il7r,Flt3,Cd34,Ly6a,"
Mouse,Bone marrow,M2 macrophage,"Il13ra1,Chil3,Mrc1,Clec10a,Il4,Mrc1,Fcgr3,Cd200,Cdh1,Arg1,Tgfb1,Chil3,Il10,Cd163,Il10,Ccl22,Itgam,Adgre1,Csf1r,Cd14,Msr1,Cd209e,Csf1r,Fcer1a,Irf4,Ly6c1,Retnla"
Mouse,Bone marrow,Macrophage,"Fcgr3,Mrc1,Fcer2a,Ly6c1,Ly6g,,Csf1r,Pdcd1lg2,macrophagegalactose-typeC-typelectinfamily,Adgre1,Dock2,Cd163,Cd68,Cd74,Adgre1,Itgam,Lgals3,Lyz1,Cd68,Itgax,Itgam,Mrc1,Cd40,Nos2,Cd200r1,Kit,Prom1,Pecam1,F8,S100family,Kdr,Itgax,Arg1,Il10,VEGFfamily,Chil3,MHCclassII,Fcgr1,Cd19,Cd3d,Cd3e,Cd3g,Klrb1c,Ptprc,Mertk,Axl,Lamp1,Lamp2,Csf1r,Fcgr3,Tlr2,Tlr4,Cdh1,Cd40,Tnfsf18,Gpnmb,MHCClassII,cd68,Cd14,C1qa,C1qb,C1qc,Ccl12,Cd209f,Clec4n,Coro1a,Ctss,Cxcl2,F13a1,Folr2,Gatm,Gmfg,Lsp1,Lyz2,Ms4a7,Pf4,Pld4,Rgs1,Srgn,Tyrobp,Unc93b1,Abhd12,Adap2,Adrb1,Aif1,Apobec1,Apoe,Asah1,Axl,Basp1,Bcl2a1b,C1qa,Cadm1,Cd72,Cd83,Cd86,Cdk6,Cfh,Clec4a2,Clec4b1,Col14a1,Creb5,Cst3,Ctsc,Ctsh,Cx3cr1,Cxcl16,Cyth4,Ebi3,Fcgr2b,Fcgr4,Fgd2,Fnbp1,Fyb,Gm4951,Gpr65,Gusb,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Hpgds,Hspa1a,Ifr1,Inpp5d,Itm2c,Lacc1,Lair1,Lat2,Lilra5,Lpar6,Ly86,Marcks,Mgl2,Mknk1,Mmp13,Ntpcr,P2ry6,Parp14,Pea15a,Pid1,Ppt1,Rab7b,Rbpj,Rgs10,Rtn4,Runx1,Scimp,Sdc3,Sft2d1,Slamf9,Slco2b1,Stab1,Stap1,Stx16,Taok3,Tgfbr1,Tmcc3,Tmem176b,Trf,Vcam1,Vsir,Zmynd15,C1qb,Basp1,Bst2,Cd5l,Cd79b,Gzma,S100a4,Lrmda,Abca9,Aoah,Arhgap15,Bank1,Cd84,Cmah,Colec12,Ctsb,Dab2,Dclre1c,Ddx60,Dock2,Dock8,Ehd4,Fli1,Gas6,Ikzf1,Lgmn,Lyn,Maf,P2rx7,P2ry12,Pik3ap1,Pnpla7,Rbm47,Rreb1,Sirpa,Slc9a9,Snx2,Stard8,Tbxas1,Tgfbr2,Tnfaip8,Tnfrsf11a,Wdfy4,Zfp710"
Mouse,Bone marrow,Mast cell,"Fcer1a,Kit,Kit,Fcer1a,Cd34,Itgb7,Ptprc,Csf2ra,Il3ra,Il5ra,Il6ra,Fut4,Cd24a,Cr2,Spn,Fcgr1,Cd9,Il1rl1,Csf1r,Ifngr1,Itgam,Itgax,Il2rb,Il7r,Anpep,Cd14,Thbd,Cd40lg,Fcgr3,Siglecf,Cxcr2,Cd19,Ccr2,Ccr3,Ccr4,Cd1d1,Enpp3,Mrc1,Il18r1,Fcer2a,Pdcd1lg2,Tlr2,Tlr4,Ptgdr2,Pecam1,Cdh1,Cd33,Cd34,Tnfrsf18,Cd38,Cd40,Itga2b,Cd44,Itga2,Sell,Cd68,Cd69,Cd80,Cd84,Cd86,Plaur,Thy1,Cd93,Cx3cr1,Adgre1,Flt3,Il1r1,Il1r2,Il1r1,Il1r2,Nos2,Ly6c1,Ly6g,Ly6a,Alox5,Cd53,Cpa3,Gzmb,Ifitm1,Lmo4,Ly6e,Srgn"
Mouse,Bone marrow,Megakaryocyte,"Itga2b,Gp1ba,Itgb3,Kit,Slamf1,Itga2b,Thy1,Cxcr4,Bsg,Cd151,Cd40lg,Pecam1,Itgav,Selp,Cd93,Lrrc32,,Pf4,Cd41,Cited2,Etv6,Fli1,Foxp1,Gata2,Mef2c,Meis1,Pbx1,Pf4,Stat3,Zfpm1,Vwf"
Mouse,Bone marrow,Megakaryocyte-erythroid progenitor,"Kit,Il7r,Fcgr3,Cdh1,Cd34,Fcgr1,Ly6a,Abcg4,Add2,Col5a1,Hba-a1,Paqr9,Pklr,Prss50,Smim1,Snca,Sptb,"
Mouse,Bone marrow,Stromal cell (formerly Mesenchymal stem cell),"Eng,Pecam1,Ly6a,Cd34,Cd44,Thy1,Cd34,Ptprc,B4galnt1,Vcam1,Itgam,Itgb1,Nt5e,Mcam,Pdgfrb,Cd44,Pdgfra,Itgb1,Ptprc,Pdgfra,Ly76,Thy1,Lepr"
Mouse,Bone marrow,Stromal cell (formerly early mesenchymal stem cell),"Cd34,Clec3b,Gsn,Ly6a,Mfap5,Thy1"
Mouse,Bone marrow,Stromal cell (formerly late mesenchymal stem cell),"Edil3,Postn,Aspn,aSma,Tnn,Dkk3,Ostn"
Mouse,Bone marrow,Stromal cell (formerly Mesenchymal stromal cell),"Thy1,Itgal,Anpep,Cd14,Itgb2,Itgb1,Cd34,Cd44,Cd79a,Ptprc,Thy1,MHCclassI,MHCclassII,Anpep,Eng,Prom1,Mcam,Icam1,Nt5e,Itgb2,Kit,Pdgfra"
Mouse,Bone marrow,Monocyte,"Cd48,Ly6c1,Ly6g,,Itgam,Cd68,Adgre1,Adgre1,Ly6g,Ly6c1,Cd19,Cd3d,Cd3e,Cd3g,Klrb1c,Csf1r,Itgam,Cx3cr1,Ccr2,Csf1r,Ly6c2,Itgax,Cd14,Fcgr3,Pithd1,Ppp1r18,,2310061I04Rik,Abcd1,Abr,Acap2,Adcy7,Add1,Add3,Adipor1,AI467606,Alkbh7,Ap1m1,App,Arhgap1,Arhgdib,Arhgef18,Arpp19,Aurkaip1,B9d2,Bin1,Brd4,Bri3,Calm2,Ccnd1,Cd180,Cd7,Cdc42se2,Cdk5rap3,Cfp,Chka,Chst12,Clic1,Clta,Commd7,Cox8a,Crip1,Csk,Csnk1g2,Cst3,Ctnnb1,Cux1,Cxcr3,Cyp27a1,Dcaf15,Dctpp1,Dcxr,Ddb1,Ddx42,Def6,Dhx57,Dscr3,Emp3,Etfb,Fam168b,Fkbp15,Foxo1,Fxyd5,Gimap6,Gpi1,Grap,Gtf3a,H2-Ke6,Hadhb,Hagh,Hdac5,Herpud1,Hip1r,Hmgcl,Hnrnpl,Hspa1b,Ifr2,Igsf8,Il17ra,Itgb7,Kcnn4,Klf13,Klf2,Klf3,Ldb1,Lgals3,Lime1,Lrwd1,Madd,Map3k3,Map4k1,Mbtps1,Mrpl18,Mrpl40,Myh9,a10,Nbeal2,Ndufb5,Nipbl,Npc1,Nrm,Nub1,Nudt16l1,Phax,Pnn,Pnpla7,Ppp1ca,Prkacb,Prkd2,Psmd4,Ptpn6,Rasal3,Rasgrp2,Rbm38,Reep4,Rheb,S1pr4,Sgk1,Slc50a1,Slpi,Smc4,Snx3,Sra1,Srsf9,Stk38,Sumf1,Tbc1d10c,Tbc1d17,Tcp11l2,Tmed3,Tmem14c,Tmem160,Tmem208,Tmem59,Tpi1,Tpm1,Tprgl,Trim8,Tsx,Tspan32,Vim,Vps16,Wbp2,Wdfy4,Ly86,Tmem258,Ass1,C1galt1c1,Clec7a,Ctsc,Ctss,Cxcr4,Emb,F13a1,Glipr1,Gria3,Hpse,Klf4,Lgals1,Mefv,Mfsd1,Ms4a6c,Papss2,Prdx4,Psma2,Rassf4,Rgs10,S100a10,S100a4,Tfec,Tgfbi,Tifab,Trem2,Hbb-bs,Car2,Cited4,E2f4,Gata1,Gata2,Gfi1b,Hba-a2,Hmgb3,Klf1,Mbd2,Phb2,Phf10,Tcf3,Zfpm1,Ccl6,Cebpb,Cmpk2,Ctsd,Cxcl1,Cxcl2,Cxcl3,Ifit1,Il1b,Il6,Ly6e,Lyz2,Ptgs2,Tnf,Ctss,Cybb,Irf8,Ly6a"
Mouse,Bone marrow,Multiple pluripotent progenitor cell,"Ptprc,Kit,,Itgam,Cd19,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Ly6g,Ly6a,Ly76"
Mouse,Bone marrow,Multipotent progenitor cell,"Kit,Flt3,Cd34,Cd48,Ly6a,Fcgr3,Cdh1,Il7r,,Gcnt2,Hlf,Procr"
Mouse,Bone marrow,Myeloid cell,"Itgam,Ly6g,Ly6g,Itgam,Csf1r,Kit,Ifngr1,Itgax,Il2rb,Il3ra,Il6ra,Il7r,Anpep,Cd14,Thbd,Cd40lg,Fcgr3,Siglecf,Cxcr2,Cd19,Ccr2,Ccr3,Ccr4,Cd1d1,Enpp3,Mrc1,Il18r1,Fcer2a,Cd24a,Pdcd1lg2,Tlr2,Tlr4,Ptgdr2,Pecam1,Cdh1,Cd33,Cd34,Cr2,Tnfrsf18,Cd38,Cd40,Itga2b,Spn,Cd44,Ptprc,Itga2,Sell,Fcgr1,Cd68,Cd69,Cd80,Cd84,Cd86,Plaur,Cd9,Thy1,Cd93,Cx3cr1,Adgre1,Fcer1a,Flt3,Il1r1,Il1r2,Il1r1,Il1r2,Nos2,Ly6c1,Ly6a,Ifi207,Alox5ap,Apobec1,Apoe,Arhgdib,Bcl2a1d,Ccl9,Cd53,Clec4a2,Clec7a,Coro1a,Cotl1,Csf1r,Csf2rb,Cst3,Ctsb,Ctsc,Ctsd,Ctss,Cybb,Dab2,Efhd2,F13a1,Fcer1g,Fcgr2b,Fermt3,Fth1,Fyb,,Hexa,Ifi203,Ifi204,Igsf6,Laptm5,Lcp2,Lgmn,Lilrb4,Lrmp,Ly86,Lyz2,Milr1,Ms4a6c,Ms4a6d,Ncf2,Ncf4,Ptafr,Pycard,Rac2,Rassf4,Runx1,Sirpa,Slfn2,Tpd52,Trem2,Trpv2,Tyrobp,Uckl1,Unc93b1,Adgre1,Cd209a,Lgals3,Ly6c2"
Mouse,Bone marrow,Myeloid progenitor cell,"Ptprc,Kit,Itgam,Cd19,Cd3d,Cd3e,Cd3g,Cd34,Cd4,Cd8a,,Ly6g,Ly6a,Ly76,Kcnip3,Med21,Sgms2,Tfec"
Mouse,Bone marrow,Natural killer cell,"Klrb1c,Itga1,Cxcr6,Itgax,Ncr1,Itgae,Itgae,Kit,Ifngr1,Il2rb,Il7r,Fcgr3,Cd160,Klrb1,Klrb1b,Klrb1c,Cxcr2,Cxcr3,Ccr6,Cd1d1,Cd2,Il12rb1,Pecam1,Klrk1,Slamf7,Cd34,Cd4,Spn,Cd44,Ptprc,Itga2,B3gat1,Cd69,Cd8a,Plaur,Thy1,Klrd1,Cd96,Cx3cr1,Flt3,Klrg1,MHCclassII,Zbtb16,Rorc,Ly6a,Il1rl1,Itgam,Cd226,Il2ra,Nfil3,Eomes,Gata3,Id2,Ly-49family,Runx1,Agpat2,Tigit,Tox,Klra8,Klrc1,Fcgr3,Ncam1,Cap1,Ccl5,Ccnd2,Chsy1,Cma1,Cst7,Ctla2b,Ctsw,Dapk2,Dok2,Dusp2,Fasl,Gem,,Gzma,Gzmb,Hsd11b1,Ifitm10,Il18rap,Irf8,Itgb2,Jak1,Klra1,Klra4,Klra7,Klra8,Klra9,Klrb1a,Klrb1f,Klrc2,Klre1,Lamb3,Lfng,Nkg7,Pole4,Prf1,Samd3,Tbx21,Txk,Ugcg,Vps37b,Ccl5,Cebpa,Etv6,Foxp1,Mpo,Spi1,Stat3"
Mouse,Bone marrow,Neutrophil,"Ly6g,,Prtn3,Itgam,Cxcr4,Ly6g,Siglecf,MHCclassII,Itgae,Nectin2,Csf3r,Csf2ra,Fut4,Bst1,Cd177,Cxcr1,Cd24a,Tlr1,Tlr2,Tlr4,Tlr6,Tlr9,Cr2,Spn,Ceacam1,Cd93,Csf1r,Itgam,1110008F13Rik,AA467197,Abtb1,Adam8,Adipor1,Alox5ap,Anxa1,Arg2,Asprv1,Btg2,C5ar1,Card19,Ccl3,Ccl6,Ccl9,Ccr1,Ccrl2,Cd300ld,Cd300lf,Cdk2ap2,Cfp,Chil1,Clec4d,Clec4e,Csrp3,Cxcl2,Cxcr2,Cyp4f18,Dgat1,Dhrs7,Dusp1,Eif4ebp1,Fos,Fxyd5,G0s2,Gda,Gdpd3,Glipr2,Glrx,Gm5150,Gm5483,Gmfg,Gri,Gsr,H2-Q10,Hacd4,Hdc,Hp,Ier2,Ifitm1,Ikbkap,Il17ra,Il1b,Il1f9,Il1r2,Junb,Lcn2,Lilr4b,Litaf,Lrg1,Map1lc3b,Mcemp1,Mcl1,Mmp8,Mmp9,Mrgpra2b,Mrpl33,Msrb1,Mxd1,Ncf1,Ngp,Oas3,Osm,Pgd,Pglyrp1,Pilra,Pilrb2,Plp2,Pnkp,Prr13,Ptgs2,Ptp4a1,Pygl,R3hdm4,Rara,Rassf3,Rdh12,Retnlg,Rgs2,Riok3,Rnf144a,S100a11,S100a6,S100a8,S100a9,Slc16a3,Slc7a11,Slfn1,Slfn4,Socs3,Sorl1,Srgn,Stfa2l1,Stk17b,Taldo1,Tpd52,Trem1,Trem3,Trim30b,Txn1,Tyrobp,Ube2b,Wfdc17,Wfdc21,Zfp36,Zyx,Fcnb,Gstm1,Ltf,Cebpe,Cebpa,Etv6,Foxp1,Gfi1,Spi1,Stat3,Elane,Elane,Lyz2,Mpo,Prtn3"
Mouse,Bone marrow,Osteoclast precursor cell,"Csf1r,Kit,Itgam,Cd3d,Cd3e,Cd3g,Ptprc"
Mouse,Bone marrow,Plasma cell,"Sdc1,Tnfrsf17,Prdm1,Il6ra,Sdc1,Cxcr4,Cd320,Ptprc,IgDfamily,Irf4,Tnfrsf13b,Xbp1,Prdm1,Fcgr3,Cd19,Cdh1,Cd81,Cd9,IgGfamily"
