speciesType,tissueType,cellName,geneSymbol
Mouse,Bone marrow,B cell,"Ptprc,Spn,Ptprc,Cd40lg,Cd19,Cd79a,Cd19,Cd5,Adgre1,Gstm1,Fasn,Cd22,Spn,Ms4a1,Cd5,Cd24a,Kit,Bcr,Enpep,Ccr10,Itgae,Kit,Ifngr1,Itgam,Il2rb,Il6ra,Il7r,Sdc1,Fcgr3,Cxcr4,Cxcr5,Cd1d1,Ms4a1,Cr2,Cd22,Fcer2a,Il2ra,Cd27,Pdcd1lg2,Pecam1,Bst2,Slamf7,Cdh1,Cd320,Cd34,Tnfrsf18,Cd38,Entpd1,Cd40,Cd44,Itga2,Sell,Nt5e,Cd80,Cd84,Cd86,Cd9,Cd93,Flt3,IgDfamily,Il1r1,Il1r2,MHCClassII,,Ly6a,Cd180,Tnfsf4,Cd36,Cd69,Cd81,Cd79a,Cd79b,Ly6d,Mzb1,Cd69,Cxcl10,Ifi47,Ifit1,Ifit2,Ifit3,Igtp,Irf7,Irgm1,Isg15,Isg20,Mx1,Oasl1,Parp14,Rgs1,Rsad2,Usp18,4930523C07Rik,Bank1,Blnk,Btla,Cd37,Ckap4,Cmah,Creld2,Derl3,Djc3,Eaf2,Ebf1,Edem1,Edem2,Fam46c,Fchsd2,Fcmr,Fcrla,Fkbp11,Gm8369,H13,H2-DMb2,H2-Oa,H2-Ob,Hsp90b1,Hspa5,Hvcn1,Jchain,Krtcap2,Manf,Mef2c,Pafah1b3,Pax5,Pold4,Pou2af1,Prdx4,Ptp4a3,Ralgps2,Rexo2,Scd1,Sdf2l1,Sec11c,Sec61a1,Sec61b,Serp1,Siglecg,Slpi,Smap2,Snx2,Spcs3,Spib,Srp9,Ssr4,Tnfrsf13b,Tnfrsf13c,Tnfrsf17,Trp53inp1,Txndc11,Txndc5,Vpreb3,Xbp1,Fcrla,Vpreb1,Cd79b"
Mouse,Bone marrow,Basophil,"Mcpt8,Ptprc,Itga2,Fcer1a,Kit,Itga2b,Itgal,Il3ra,Il5ra,Anpep,Cd40lg,Ccr2,Il18r1,Il18rap,Il2ra,Tlr1,Tlr2,Tlr4,Tlr6,Tlr9,Ptgdr2,Cd33,Cd38,Spn,C5ar1,Cd9,Cebpa,Gata2,Itgam,Cd200r3,Prss34,Cebpa,Etv6,Foxp1,Lmo4,Mpo,Prss34,Spi1,Runx1,Stat3,Alox5,Cd53,Cpa3,Ifitm1,Ly6e,Mcpt8,Srgn"
Mouse,Bone marrow,Blastema cell,"Pecam1,Ly6a,Vim"
Mouse,Bone marrow,CD8a+ dendritic cell,"Acvrl1,CD8a"
Mouse,Bone marrow,Common myeloid progenitor,"Kit,Fcgr3,Cdh1,Cd34,Itga2b,Ly6a,"
Mouse,Bone marrow,Conventional dendritic cell,"Nectin2,Flt3,Cxcr3,Ccr7,Ly75,Cd207,Cd209e,Pdcd1lg2,Tlr9,Clec7a,Clec9a,Cd4,Cd40,Cd8a,Cd83,Clec4a4,Cd74"
Mouse,Bone marrow,Dendritic cell,"Itgax,Cd74,Cd83,Cd86,Cd80,Tlr9,Ccr7,Itgax,Cd40,MHCclassII,Cd80,Cd83,Itgam,Cd19,Cd3d,Cd3e,Cd3g,Ly6g,Klrb1c,MHCclassII,Cd24a,Ptprc,Siglecf,Xcr1,Nectin2,Cd209a,Flt3,H2-Eb1,Cd14,Fcgr3,Cd74,Cebpa,Chd3,Elf1,Etv6,Foxp1,Id2,Irf8,Nfe2,Spi1,Sox4,Stat3,Basp1,Ccl5,Fscn1,S100a4,Tcf7,Ccl22,Ccr7,Cst3,H2-Ab1,Ifit1,Batf3,Ifi205,Mycl,Slamf7,H2-Aa"
Mouse,Bone marrow,Endothelial progenitor cell,"Pecam1,Kit,Ly6a,Kdr,Cd34,Prom1,Peg3"
Mouse,Bone marrow,Eosinophil,"Adgre1,Siglecf,Itgav,Icam1,Sell,Cd80,Fas,MHCclassII,Ccr3,Itgam,Il5ra,Csf2ra,Il3ra,Il6ra,Fut4,Siglece,Cd24a,Cd244,Cr2,Spn,Fcgr1,Cd9,Fcer1a,Itgam,Ly6c1,Prg2,Cebpa,Cebpe,Etv6,Foxp1,Gfi1,Mpo,Prg2,Spi1,Stat3,Epx,Il15,Il4,Prg3"
Mouse,Bone marrow,Erythroid cell,"Cdh1,Eng,Alas2,Bpgm,Hba-a2,Mkrn1,Snca,Alad,Alas2,Car2,Cpox,Hba-a1,Hbb-bt,Rhd,Tfrc"
