sample,condition
Atha_WT-Col-0_sl_FLT_Rep1_G1S1,FLT
Atha_WT-Col-0_sl_FLT_Rep2_G1S2,FLT
Atha_WT-Col-0_sl_FLT_Rep3_G1S3,FLT
Atha_WT-Col-0_sl_GC_Rep1_G2S1,GC
Atha_WT-Col-0_sl_GC_Rep2_G2S2,GC
Atha_WT-Col-0_sl_GC_Rep3_G2S3,GC
Atha_WT-Col-0_sl_LN2_Rep1_n2-1,LN2
Atha_WT-Col-0_sl_LN2_Rep2_n2-2,LN2
Atha_WT-Col-0_sl_LN2_Rep3_n2-3,LN2
Atha_WT-Col-0_sl_RNAlat_Rep1_rl1,RNAlat
Atha_WT-Col-0_sl_RNAlat_Rep2_rl2,RNAlat
Atha_WT-Col-0_sl_RNAlat_Rep3_rl3,RNAlat
