sample,condition
Atha_Ws_leaf_FLT_Rep1_GSM2516803,leaf_FLT
Atha_Ws_leaf_FLT_Rep2_GSM2516804,leaf_FLT
Atha_Ws_leaf_FLT_Rep3_GSM2516805,leaf_FLT
Atha_Ws_leaf_GC_Rep1_GSM2516800,leaf_GC
Atha_Ws_leaf_GC_Rep2_GSM2516801,leaf_GC
Atha_Ws_leaf_GC_Rep3_GSM2516802,leaf_GC
Atha_Ws_root_FLT_Rep1_GSM2516797,root_FLT
Atha_Ws_root_FLT_Rep2_GSM2516798,root_FLT
Atha_Ws_root_FLT_Rep3_GSM2516799,root_FLT
Atha_Ws_root_GC_Rep1_GSM2516794,root_GC
Atha_Ws_root_GC_Rep2_GSM2516795,root_GC
Atha_Ws_root_GC_Rep3_GSM2516796,root_GC
