sample,condition
Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783,Col-0-PhyD_FLT_Alight
Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784,Col-0-PhyD_FLT_Alight
Atha_Col-0-PhyD_root_FLT_Alight_Rep3_GSM2493785,Col-0-PhyD_FLT_Alight
Atha_Col-0-PhyD_root_FLT_dark_Rep1_GSM2493792,Col-0-PhyD_FLT_dark
Atha_Col-0-PhyD_root_FLT_dark_Rep2_GSM2493793,Col-0-PhyD_FLT_dark
Atha_Col-0-PhyD_root_FLT_dark_Rep3_GSM2493794,Col-0-PhyD_FLT_dark
Atha_Col-0-PhyD_root_GC_Alight_Rep1_GSM2493765,Col-0-PhyD_GC_Alight
Atha_Col-0-PhyD_root_GC_Alight_Rep2_GSM2493766,Col-0-PhyD_GC_Alight
Atha_Col-0-PhyD_root_GC_Alight_Rep3_GSM2493767,Col-0-PhyD_GC_Alight
Atha_Col-0-PhyD_root_GC_dark_Rep1_GSM2493774,Col-0-PhyD_GC_dark
Atha_Col-0-PhyD_root_GC_dark_Rep2_GSM2493775,Col-0-PhyD_GC_dark
Atha_Col-0-PhyD_root_GC_dark_Rep3_GSM2493776,Col-0-PhyD_GC_dark
Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777,Col-0_FLT_Alight
Atha_Col-0_root_FLT_Alight_Rep2_GSM2493778,Col-0_FLT_Alight
Atha_Col-0_root_FLT_Alight_Rep3_GSM2493779,Col-0_FLT_Alight
Atha_Col-0_root_FLT_dark_Rep1_GSM2493786,Col-0_FLT_dark
Atha_Col-0_root_FLT_dark_Rep2_GSM2493787,Col-0_FLT_dark
Atha_Col-0_root_FLT_dark_Rep3_GSM2493788,Col-0_FLT_dark
Atha_Col-0_root_GC_Alight_Rep1_GSM2493759,Col-0_GC_Alight
Atha_Col-0_root_GC_Alight_Rep2_GSM2493760,Col-0_GC_Alight
Atha_Col-0_root_GC_Alight_Rep3_GSM2493761,Col-0_GC_Alight
Atha_Col-0_root_GC_dark_Rep1_GSM2493768,Col-0_GC_dark
Atha_Col-0_root_GC_dark_Rep2_GSM2493769,Col-0_GC_dark
Atha_Col-0_root_GC_dark_Rep3_GSM2493770,Col-0_GC_dark
Atha_Ws_root_FLT_Alight_Rep1_GSM2493780,Ws_FLT_Alight
Atha_Ws_root_FLT_Alight_Rep2_GSM2493781,Ws_FLT_Alight
Atha_Ws_root_FLT_Alight_Rep3_GSM2493782,Ws_FLT_Alight
Atha_Ws_root_FLT_dark_Rep1_GSM2493789,Ws_FLT_dark
Atha_Ws_root_FLT_dark_Rep2_GSM2493790,Ws_FLT_dark
Atha_Ws_root_FLT_dark_Rep3_GSM2493791,Ws_FLT_dark
Atha_Ws_root_GC_Alight_Rep1_GSM2493762,Ws_GC_Alight
Atha_Ws_root_GC_Alight_Rep2_GSM2493763,Ws_GC_Alight
Atha_Ws_root_GC_Alight_Rep3_GSM2493764,Ws_GC_Alight
Atha_Ws_root_GC_dark_Rep1_GSM2493771,Ws_GC_dark
Atha_Ws_root_GC_dark_Rep2_GSM2493772,Ws_GC_dark
Atha_Ws_root_GC_dark_Rep3_GSM2493773,Ws_GC_dark
