Sample Name,has_ERCC,organism,paired_end,read1_path,read2_path,Factor Value[Spaceflight],Source Name,Has Tech Reps,Original Sample Name
RR23_R-Quad_FLT_F1_techrep1,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F1_techrep1_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F1_techrep1_R2_raw.fastq.gz,Space Flight,RR-23_F1,True,RR23_R-Quad_FLT_F1_techrep1
RR23_R-Quad_FLT_F1_techrep2,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F1_techrep2_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F1_techrep2_R2_raw.fastq.gz,Space Flight,RR-23_F1,True,RR23_R-Quad_FLT_F1_techrep2
RR23_R-Quad_FLT_F2,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F2_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F2_R2_raw.fastq.gz,Space Flight,RR-23_F2,False,RR23_R-Quad_FLT_F2
RR23_R-Quad_FLT_F3,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F3_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F3_R2_raw.fastq.gz,Space Flight,RR-23_F3,False,RR23_R-Quad_FLT_F3
RR23_R-Quad_FLT_F4,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F4_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F4_R2_raw.fastq.gz,Space Flight,RR-23_F4,False,RR23_R-Quad_FLT_F4
RR23_R-Quad_FLT_F5,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F5_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F5_R2_raw.fastq.gz,Space Flight,RR-23_F5,False,RR23_R-Quad_FLT_F5
RR23_R-Quad_FLT_F6,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F6_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F6_R2_raw.fastq.gz,Space Flight,RR-23_F6,False,RR23_R-Quad_FLT_F6
RR23_R-Quad_FLT_F7,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F7_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F7_R2_raw.fastq.gz,Space Flight,RR-23_F7,False,RR23_R-Quad_FLT_F7
RR23_R-Quad_FLT_F8,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F8_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F8_R2_raw.fastq.gz,Space Flight,RR-23_F8,False,RR23_R-Quad_FLT_F8
RR23_R-Quad_FLT_F9,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F9_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_FLT_F9_R2_raw.fastq.gz,Space Flight,RR-23_F9,False,RR23_R-Quad_FLT_F9
