Sample Name,has_ERCC,organism,paired_end,read1_path,read2_path,Factor Value[Spaceflight],Source Name,Has Tech Reps,Original Sample Name
RR23_R-Quad_GC_G1_techrep1,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G1_techrep1_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G1_techrep1_R2_raw.fastq.gz,Ground Control,RR-23_GC1,True,RR23_R-Quad_GC_G1_techrep1
RR23_R-Quad_GC_G1_techrep2,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G1_techrep2_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G1_techrep2_R2_raw.fastq.gz,Ground Control,RR-23_GC1,True,RR23_R-Quad_GC_G1_techrep2
RR23_R-Quad_GC_G2,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G2_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G2_R2_raw.fastq.gz,Ground Control,RR-23_GC2,False,RR23_R-Quad_GC_G2
RR23_R-Quad_GC_G3,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G3_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G3_R2_raw.fastq.gz,Ground Control,RR-23_GC3,False,RR23_R-Quad_GC_G3
RR23_R-Quad_GC_G4,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G4_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G4_R2_raw.fastq.gz,Ground Control,RR-23_GC4,False,RR23_R-Quad_GC_G4
RR23_R-Quad_GC_G5,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G5_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G5_R2_raw.fastq.gz,Ground Control,RR-23_GC5,False,RR23_R-Quad_GC_G5
RR23_R-Quad_GC_G6,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G6_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G6_R2_raw.fastq.gz,Ground Control,RR-23_GC6,False,RR23_R-Quad_GC_G6
RR23_R-Quad_GC_G7,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G7_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G7_R2_raw.fastq.gz,Ground Control,RR-23_GC7,False,RR23_R-Quad_GC_G7
RR23_R-Quad_GC_G8,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G8_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G8_R2_raw.fastq.gz,Ground Control,RR-23_GC8,False,RR23_R-Quad_GC_G8
RR23_R-Quad_GC_G9,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G9_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_GC_G9_R2_raw.fastq.gz,Ground Control,RR-23_GC9,False,RR23_R-Quad_GC_G9
RR23_R-Quad_VIV_V1,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_VIV_V1_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_VIV_V1_R2_raw.fastq.gz,Vivarium Control,RR-23_V1,False,RR23_R-Quad_VIV_V1
RR23_R-Quad_VIV_V2,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_VIV_V2_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_VIV_V2_R2_raw.fastq.gz,Vivarium Control,RR-23_V2,False,RR23_R-Quad_VIV_V2
RR23_R-Quad_VIV_V3,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_VIV_V3_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_VIV_V3_R2_raw.fastq.gz,Vivarium Control,RR-23_V3,False,RR23_R-Quad_VIV_V3
RR23_R-Quad_VIV_V4,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_VIV_V4_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_VIV_V4_R2_raw.fastq.gz,Vivarium Control,RR-23_V4,False,RR23_R-Quad_VIV_V4
RR23_R-Quad_VIV_V5,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_VIV_V5_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_VIV_V5_R2_raw.fastq.gz,Vivarium Control,RR-23_V5,False,RR23_R-Quad_VIV_V5
RR23_R-Quad_VIV_V6,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_VIV_V6_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_VIV_V6_R2_raw.fastq.gz,Vivarium Control,RR-23_V6,False,RR23_R-Quad_VIV_V6
RR23_R-Quad_VIV_V7,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_VIV_V7_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_VIV_V7_R2_raw.fastq.gz,Vivarium Control,RR-23_V7,False,RR23_R-Quad_VIV_V7
RR23_R-Quad_VIV_V8,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_VIV_V8_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_VIV_V8_R2_raw.fastq.gz,Vivarium Control,RR-23_V8,False,RR23_R-Quad_VIV_V8
RR23_R-Quad_VIV_V9,True,Mus musculus,True,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_VIV_V9_R1_raw.fastq.gz,https://osdr.nasa.gov/geode-py/ws/studies/OSD-666/download?source=datamanager&file=GLDS-605_rna-seq_RR23_R-Quad_VIV_V9_R2_raw.fastq.gz,Vivarium Control,RR-23_V9,False,RR23_R-Quad_VIV_V9
