Sample Name,has_ERCC,organism,paired_end,read1_path,read2_path,Factor Value[Spaceflight],Original Sample Name
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7,True,Mus musculus,True,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R1_raw.fastq.gz?version=1,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R2_raw.fastq.gz?version=1,Basal Control,Mmus_BAL-TAL_LRTN_BSL_Rep1_B7
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8,True,Mus musculus,True,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R1_raw.fastq.gz?version=1,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R2_raw.fastq.gz?version=1,Basal Control,Mmus_BAL-TAL_RRTN_BSL_Rep2_B8
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9,True,Mus musculus,True,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R1_raw.fastq.gz?version=1,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R2_raw.fastq.gz?version=1,Basal Control,Mmus_BAL-TAL_RRTN_BSL_Rep3_B9
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10,True,Mus musculus,True,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R1_raw.fastq.gz?version=1,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R2_raw.fastq.gz?version=1,Basal Control,Mmus_BAL-TAL_RRTN_BSL_Rep4_B10
Mmus_BAL-TAL_LRTN_GC_Rep1_G6,True,Mus musculus,True,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R1_raw.fastq.gz?version=1,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R2_raw.fastq.gz?version=1,Ground Control,Mmus_BAL-TAL_LRTN_GC_Rep1_G6
Mmus_BAL-TAL_LRTN_GC_Rep2_G8,True,Mus musculus,True,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R1_raw.fastq.gz?version=1,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R2_raw.fastq.gz?version=1,Ground Control,Mmus_BAL-TAL_LRTN_GC_Rep2_G8
Mmus_BAL-TAL_LRTN_GC_Rep3_G9,True,Mus musculus,True,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R1_raw.fastq.gz?version=1,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R2_raw.fastq.gz?version=1,Ground Control,Mmus_BAL-TAL_LRTN_GC_Rep3_G9
Mmus_BAL-TAL_RRTN_GC_Rep4_G10,True,Mus musculus,True,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R1_raw.fastq.gz?version=1,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R2_raw.fastq.gz?version=1,Ground Control,Mmus_BAL-TAL_RRTN_GC_Rep4_G10
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6,True,Mus musculus,True,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R1_raw.fastq.gz?version=1,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R2_raw.fastq.gz?version=1,Space Flight,Mmus_BAL-TAL_LRTN_FLT_Rep1_F6
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7,True,Mus musculus,True,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R1_raw.fastq.gz?version=1,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R2_raw.fastq.gz?version=1,Space Flight,Mmus_BAL-TAL_LRTN_FLT_Rep2_F7
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8,True,Mus musculus,True,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R1_raw.fastq.gz?version=1,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R2_raw.fastq.gz?version=1,Space Flight,Mmus_BAL-TAL_LRTN_FLT_Rep3_F8
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9,True,Mus musculus,True,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R1_raw.fastq.gz?version=1,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R2_raw.fastq.gz?version=1,Space Flight,Mmus_BAL-TAL_LRTN_FLT_Rep4_F9
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10,True,Mus musculus,True,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R1_raw.fastq.gz?version=1,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-194_rna_seq_Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R2_raw.fastq.gz?version=1,Space Flight,Mmus_BAL-TAL_LRTN_FLT_Rep5_F10
