name,species,refseq,genome,fasta
human,Homo sapiens
mouse,Mus musculus,GCF_000001635.27,GRCm39,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/635/GCF_000001635.27_GRCm39/GCF_000001635.27_GRCm39_genomic.fna.gz
arabidopsis,Arabidopsis thaliana,GCF_000001735.4,TAIR10.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/735/GCF_000001735.4_TAIR10.1/GCF_000001735.4_TAIR10.1_genomic.fna.gz
garden_lettuce,Lactuca sativa,GCF_002870075.5,Lsat_Salinas_v15,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/870/075/GCF_002870075.5_Lsat_Salinas_v15/GCF_002870075.5_Lsat_Salinas_v15_genomic.fna.gz
tomato,Solanum lycopersicum,GCF_036512215.1,SLM_r2.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/512/215/GCF_036512215.1_SLM_r2.1/GCF_036512215.1_SLM_r2.1_genomic.fna.gz
