Sample Name,has_ERCC,organism,paired_end,read1_path,Factor Value[Spaceflight],Factor Value[Dissection Condition],Original Sample Name
Mmus_C57-6J_LVR_GC_I_Rep1_M31,False,Mus musculus,False,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep1_M31_R1_raw.fastq.gz?version=1,Ground Control,Upon euthanasia,Mmus_C57-6J_LVR_GC_I_Rep1_M31
Mmus_C57-6J_LVR_GC_I_Rep2_M32,False,Mus musculus,False,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep2_M32_R1_raw.fastq.gz?version=1,Ground Control,Upon euthanasia,Mmus_C57-6J_LVR_GC_I_Rep2_M32
Mmus_C57-6J_LVR_FLT_I_Rep1_M21,False,Mus musculus,False,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep1_M21_R1_raw.fastq.gz?version=1,Space Flight,Upon euthanasia,Mmus_C57-6J_LVR_FLT_I_Rep1_M21
Mmus_C57-6J_LVR_FLT_I_Rep2_M22,False,Mus musculus,False,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep2_M22_R1_raw.fastq.gz?version=1,Space Flight,Upon euthanasia,Mmus_C57-6J_LVR_FLT_I_Rep2_M22
Mmus_C57-6J_LVR_GC_C_Rep1_M36,False,Mus musculus,False,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep1_M36_R1_raw.fastq.gz?version=1,Ground Control,Carcass,Mmus_C57-6J_LVR_GC_C_Rep1_M36
Mmus_C57-6J_LVR_GC_C_Rep2_M37,False,Mus musculus,False,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep2_M37_R1_raw.fastq.gz?version=1,Ground Control,Carcass,Mmus_C57-6J_LVR_GC_C_Rep2_M37
Mmus_C57-6J_LVR_GC_C_Rep3_M38,False,Mus musculus,False,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep3_M38_R1_raw.fastq.gz?version=1,Ground Control,Carcass,Mmus_C57-6J_LVR_GC_C_Rep3_M38
Mmus_C57-6J_LVR_GC_C_Rep4_M39,False,Mus musculus,False,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep4_M39_R1_raw.fastq.gz?version=1,Ground Control,Carcass,Mmus_C57-6J_LVR_GC_C_Rep4_M39
Mmus_C57-6J_LVR_GC_C_Rep5_M40,False,Mus musculus,False,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep5_M40_R1_raw.fastq.gz?version=1,Ground Control,Carcass,Mmus_C57-6J_LVR_GC_C_Rep5_M40
Mmus_C57-6J_LVR_FLT_C_Rep1_M25,False,Mus musculus,False,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_C_Rep1_M25_R1_raw.fastq.gz?version=1,Space Flight,Carcass,Mmus_C57-6J_LVR_FLT_C_Rep1_M25
Mmus_C57-6J_LVR_FLT_C_Rep2_M26,False,Mus musculus,False,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_C_Rep2_M26_R1_raw.fastq.gz?version=1,Space Flight,Carcass,Mmus_C57-6J_LVR_FLT_C_Rep2_M26
Mmus_C57-6J_LVR_FLT_C_Rep3_M27,False,Mus musculus,False,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_C_Rep3_M27_R1_raw.fastq.gz?version=1,Space Flight,Carcass,Mmus_C57-6J_LVR_FLT_C_Rep3_M27
Mmus_C57-6J_LVR_FLT_C_Rep4_M28,False,Mus musculus,False,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_C_Rep4_M28_R1_raw.fastq.gz?version=1,Space Flight,Carcass,Mmus_C57-6J_LVR_FLT_C_Rep4_M28
Mmus_C57-6J_LVR_FLT_C_Rep5_M30,False,Mus musculus,False,https://genelab-data.ndc.nasa.gov/genelab/static/media/dataset/GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_C_Rep5_M30_R1_raw.fastq.gz?version=1,Space Flight,Carcass,Mmus_C57-6J_LVR_FLT_C_Rep5_M30
