sample,condition
Mmus_C57-6J_SLS_FLT_Rep1_M23,FLT
Mmus_C57-6J_SLS_FLT_Rep2_M24,FLT
Mmus_C57-6J_SLS_FLT_Rep3_M25,FLT
Mmus_C57-6J_SLS_FLT_Rep4_M26,FLT
Mmus_C57-6J_SLS_FLT_Rep5_M27,FLT
Mmus_C57-6J_SLS_FLT_Rep6_M28,FLT
Mmus_C57-6J_SLS_GC_Rep1_M33,GC
Mmus_C57-6J_SLS_GC_Rep2_M34,GC
Mmus_C57-6J_SLS_GC_Rep3_M35,GC
Mmus_C57-6J_SLS_GC_Rep4_M36,GC
Mmus_C57-6J_SLS_GC_Rep5_M37,GC
Mmus_C57-6J_SLS_GC_Rep6_M38,GC
