sample,condition
Bsub_168_cells_FLT_Rep1_BS-A1,FLT
Bsub_168_cells_FLT_Rep2_BS-A2,FLT
Bsub_168_cells_FLT_Rep3_BS-A3,FLT
Bsub_168_cells_FLT_Rep4_BS-A4,FLT
Bsub_168_cells_FLT_Rep5_BS-A5,FLT
Bsub_168_cells_FLT_Rep6_BS-C1,FLT
Bsub_168_cells_FLT_Rep7_BS-C2,FLT
Bsub_168_cells_FLT_Rep8_BS-C3,FLT
Bsub_168_cells_FLT_Rep9_BS-C4,FLT
Bsub_168_cells_GC_Rep1_BS-A1,GC
Bsub_168_cells_GC_Rep2_BS-A2,GC
Bsub_168_cells_GC_Rep3_BS-A3,GC
Bsub_168_cells_GC_Rep4_BS-A4,GC
Bsub_168_cells_GC_Rep5_BS-A5,GC
Bsub_168_cells_GC_Rep6_BS-C1,GC
Bsub_168_cells_GC_Rep7_BS-C2,GC
Bsub_168_cells_GC_Rep8_BS-C3,GC
Bsub_168_cells_GC_Rep9_BS-C4,GC
